stem,scene1_time_s,video_path
CAMHDA301-20230109T001500,300,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/09/CAMHDA301-20230109T001500.mp4
CAMHDA301-20230109T121500,180,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/09/CAMHDA301-20230109T121500.mp4
CAMHDA301-20230116T001500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/16/CAMHDA301-20230116T001500.mp4
CAMHDA301-20230116T181500,240,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/16/CAMHDA301-20230116T181500.mp4
CAMHDA301-20230123T061500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/23/CAMHDA301-20230123T061500.mp4
CAMHDA301-20230123T211500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/23/CAMHDA301-20230123T211500.mp4
CAMHDA301-20230206T031500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/02/06/CAMHDA301-20230206T031500.mp4
CAMHDA301-20230206T121500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/02/06/CAMHDA301-20230206T121500.mp4
CAMHDA301-20230213T001500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/02/13/CAMHDA301-20230213T001500.mp4
CAMHDA301-20230213T091500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/02/13/CAMHDA301-20230213T091500.mp4
CAMHDA301-20230213T181500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/02/13/CAMHDA301-20230213T181500.mp4
CAMHDA301-20230227T061500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/02/27/CAMHDA301-20230227T061500.mp4
CAMHDA301-20230306T031500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/03/06/CAMHDA301-20230306T031500.mp4
CAMHDA301-20230306T121500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/03/06/CAMHDA301-20230306T121500.mp4
CAMHDA301-20230313T001500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/03/13/CAMHDA301-20230313T001500.mp4
CAMHDA301-20230313T091500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/03/13/CAMHDA301-20230313T091500.mp4
CAMHDA301-20230320T031500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/03/20/CAMHDA301-20230320T031500.mp4
CAMHDA301-20230327T121500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/03/27/CAMHDA301-20230327T121500.mp4
CAMHDA301-20230417T001500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/04/17/CAMHDA301-20230417T001500.mp4
CAMHDA301-20230417T031500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/04/17/CAMHDA301-20230417T031500.mp4
CAMHDA301-20230417T061500,180,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/04/17/CAMHDA301-20230417T061500.mp4
CAMHDA301-20230417T121500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/04/17/CAMHDA301-20230417T121500.mp4
CAMHDA301-20230417T181500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/04/17/CAMHDA301-20230417T181500.mp4
CAMHDA301-20230417T211500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/04/17/CAMHDA301-20230417T211500.mp4
CAMHDA301-20230501T121500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/05/01/CAMHDA301-20230501T121500.mp4
CAMHDA301-20230508T091500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/05/08/CAMHDA301-20230508T091500.mp4
CAMHDA301-20230515T031500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/05/15/CAMHDA301-20230515T031500.mp4
CAMHDA301-20230515T181500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/05/15/CAMHDA301-20230515T181500.mp4
CAMHDA301-20230522T121500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/05/22/CAMHDA301-20230522T121500.mp4
CAMHDA301-20230529T031500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/05/29/CAMHDA301-20230529T031500.mp4
CAMHDA301-20230605T031500,180,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/06/05/CAMHDA301-20230605T031500.mp4
CAMHDA301-20230605T121500,180,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/06/05/CAMHDA301-20230605T121500.mp4
CAMHDA301-20230612T001500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/06/12/CAMHDA301-20230612T001500.mp4
CAMHDA301-20230612T091500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/06/12/CAMHDA301-20230612T091500.mp4
CAMHDA301-20230612T211500,180,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/06/12/CAMHDA301-20230612T211500.mp4
CAMHDA301-20230626T061500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/06/26/CAMHDA301-20230626T061500.mp4
