stem,scene1_time_s,video_path
CAMHDA301-20230807T001500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/08/07/CAMHDA301-20230807T001500.mp4
CAMHDA301-20230807T121500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/08/07/CAMHDA301-20230807T121500.mp4
CAMHDA301-20230814T001500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/08/14/CAMHDA301-20230814T001500.mp4
CAMHDA301-20230814T121500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/08/14/CAMHDA301-20230814T121500.mp4
CAMHDA301-20230821T001500,240,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/08/21/CAMHDA301-20230821T001500.mp4
CAMHDA301-20230821T121500,210,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/08/21/CAMHDA301-20230821T121500.mp4
CAMHDA301-20231009T151500,630,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/10/09/CAMHDA301-20231009T151500.mp4
CAMHDA301-20231120T151500,630,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/11/20/CAMHDA301-20231120T151500.mp4
CAMHDA301-20231218T151500,330,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/12/18/CAMHDA301-20231218T151500.mp4
CAMHDA301-20231225T031500,330,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/12/25/CAMHDA301-20231225T031500.mp4
CAMHDA301-20240108T001500,180,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/01/08/CAMHDA301-20240108T001500.mp4
CAMHDA301-20240108T121500,630,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/01/08/CAMHDA301-20240108T121500.mp4
CAMHDA301-20240115T031500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/01/15/CAMHDA301-20240115T031500.mp4
CAMHDA301-20240122T001500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/01/22/CAMHDA301-20240122T001500.mp4
CAMHDA301-20240122T121500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/01/22/CAMHDA301-20240122T121500.mp4
CAMHDA301-20240129T031500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/01/29/CAMHDA301-20240129T031500.mp4
CAMHDA301-20240304T001500,450,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/03/04/CAMHDA301-20240304T001500.mp4
CAMHDA301-20240311T121500,450,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/03/11/CAMHDA301-20240311T121500.mp4
CAMHDA301-20240318T091500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/03/18/CAMHDA301-20240318T091500.mp4
CAMHDA301-20240325T061500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/03/25/CAMHDA301-20240325T061500.mp4
CAMHDA301-20240325T151500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/03/25/CAMHDA301-20240325T151500.mp4
CAMHDA301-20240408T031500,450,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/04/08/CAMHDA301-20240408T031500.mp4
CAMHDA301-20240408T151500,450,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/04/08/CAMHDA301-20240408T151500.mp4
CAMHDA301-20240422T061500,450,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/04/22/CAMHDA301-20240422T061500.mp4
CAMHDA301-20240422T211500,450,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/04/22/CAMHDA301-20240422T211500.mp4
CAMHDA301-20240429T151500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/04/29/CAMHDA301-20240429T151500.mp4
CAMHDA301-20240617T061500,450,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/06/17/CAMHDA301-20240617T061500.mp4
CAMHDA301-20240617T181500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/06/17/CAMHDA301-20240617T181500.mp4
CAMHDA301-20240624T121500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/06/24/CAMHDA301-20240624T121500.mp4
CAMHDA301-20240708T001500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/07/08/CAMHDA301-20240708T001500.mp4
CAMHDA301-20240708T121500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/07/08/CAMHDA301-20240708T121500.mp4
CAMHDA301-20240715T031500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/07/15/CAMHDA301-20240715T031500.mp4
CAMHDA301-20240715T181500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/07/15/CAMHDA301-20240715T181500.mp4
CAMHDA301-20240722T031500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/07/22/CAMHDA301-20240722T031500.mp4
CAMHDA301-20240722T211500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/07/22/CAMHDA301-20240722T211500.mp4
CAMHDA301-20240729T091500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/07/29/CAMHDA301-20240729T091500.mp4
CAMHDA301-20240729T211500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/07/29/CAMHDA301-20240729T211500.mp4
CAMHDA301-20240805T121500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/08/05/CAMHDA301-20240805T121500.mp4
CAMHDA301-20240812T001500,420,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/08/12/CAMHDA301-20240812T001500.mp4
CAMHDA301-20241223T211500,810,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2024/12/23/CAMHDA301-20241223T211500.mp4
