stem,date,video_path,tile_time_s,label,era,split,source_batch
CAMHDA301-20190107T001500,2019-01-07,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/07/CAMHDA301-20190107T001500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190107T031500,2019-01-07,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/07/CAMHDA301-20190107T031500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190107T061500,2019-01-07,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/07/CAMHDA301-20190107T061500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190107T091500,2019-01-07,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/07/CAMHDA301-20190107T091500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190107T121500,2019-01-07,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/07/CAMHDA301-20190107T121500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190114T001500,2019-01-14,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/14/CAMHDA301-20190114T001500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190114T031500,2019-01-14,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/14/CAMHDA301-20190114T031500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190114T061500,2019-01-14,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/14/CAMHDA301-20190114T061500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190114T091500,2019-01-14,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/14/CAMHDA301-20190114T091500.mp4,720,0,clear,train,2019_2020
CAMHDA301-20190114T091500,2019-01-14,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/14/CAMHDA301-20190114T091500.mp4,660,0,clear,train,2019_2020
CAMHDA301-20190114T091500,2019-01-14,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/14/CAMHDA301-20190114T091500.mp4,360,0,clear,train,2019_2020
CAMHDA301-20190114T091500,2019-01-14,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/14/CAMHDA301-20190114T091500.mp4,120,0,clear,train,2019_2020
CAMHDA301-20190114T121500,2019-01-14,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/14/CAMHDA301-20190114T121500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190114T151500,2019-01-14,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/14/CAMHDA301-20190114T151500.mp4,510,0,clear,train,2019_2020
CAMHDA301-20190114T151500,2019-01-14,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/14/CAMHDA301-20190114T151500.mp4,30,0,clear,train,2019_2020
CAMHDA301-20190114T151500,2019-01-14,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/14/CAMHDA301-20190114T151500.mp4,90,0,clear,train,2019_2020
CAMHDA301-20190114T151500,2019-01-14,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/14/CAMHDA301-20190114T151500.mp4,540,0,clear,train,2019_2020
CAMHDA301-20190114T181500,2019-01-14,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/14/CAMHDA301-20190114T181500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190114T211500,2019-01-14,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/14/CAMHDA301-20190114T211500.mp4,630,0,clear,train,2019_2020
CAMHDA301-20190114T211500,2019-01-14,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/14/CAMHDA301-20190114T211500.mp4,720,0,clear,train,2019_2020
CAMHDA301-20190114T211500,2019-01-14,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/14/CAMHDA301-20190114T211500.mp4,510,0,clear,train,2019_2020
CAMHDA301-20190114T211500,2019-01-14,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/14/CAMHDA301-20190114T211500.mp4,60,0,clear,train,2019_2020
CAMHDA301-20190121T001500,2019-01-21,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/21/CAMHDA301-20190121T001500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190121T031500,2019-01-21,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/21/CAMHDA301-20190121T031500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190121T061500,2019-01-21,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/21/CAMHDA301-20190121T061500.mp4,90,0,clear,train,2019_2020
CAMHDA301-20190121T061500,2019-01-21,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/21/CAMHDA301-20190121T061500.mp4,720,0,clear,train,2019_2020
CAMHDA301-20190121T061500,2019-01-21,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/21/CAMHDA301-20190121T061500.mp4,660,0,clear,train,2019_2020
