frame_id,date,unit,model,raw_count,recall,corrected_count,corrected_lo,corrected_hi
CAMHDA301-20190107T001500,2019-01-07,CAMHDA301-2018,v2,16,0.4474,35.7647,32.4103,40.1042
CAMHDA301-20190107T031500,2019-01-07,CAMHDA301-2018,v2,16,0.4474,35.7647,32.4103,40.1042
CAMHDA301-20190107T061500,2019-01-07,CAMHDA301-2018,v2,15,0.4474,33.5294,30.3846,37.5977
CAMHDA301-20190107T091500,2019-01-07,CAMHDA301-2018,v2,12,0.4474,26.8235,24.3077,30.0781
CAMHDA301-20190107T121500,2019-01-07,CAMHDA301-2018,v2,24,0.4474,53.6471,48.6154,60.1563
CAMHDA301-20190114T001500,2019-01-14,CAMHDA301-2018,v2,0,0.4474,0.0,0.0,0.0
CAMHDA301-20190114T031500,2019-01-14,CAMHDA301-2018,v2,13,0.4474,29.0588,26.3334,32.5846
CAMHDA301-20190114T061500,2019-01-14,CAMHDA301-2018,v2,10,0.4474,22.3529,20.2564,25.0651
CAMHDA301-20190114T121500,2019-01-14,CAMHDA301-2018,v2,1,0.4474,2.2353,2.0256,2.5065
CAMHDA301-20190114T181500,2019-01-14,CAMHDA301-2018,v2,16,0.4474,35.7647,32.4103,40.1042
CAMHDA301-20190121T001500,2019-01-21,CAMHDA301-2018,v2,6,0.4474,13.4118,12.1539,15.0391
CAMHDA301-20190121T031500,2019-01-21,CAMHDA301-2018,v2,17,0.4474,38.0,34.4359,42.6107
CAMHDA301-20190121T091500,2019-01-21,CAMHDA301-2018,v2,10,0.4474,22.3529,20.2564,25.0651
CAMHDA301-20190121T121500,2019-01-21,CAMHDA301-2018,v2,15,0.4474,33.5294,30.3846,37.5977
CAMHDA301-20190121T151500,2019-01-21,CAMHDA301-2018,v2,12,0.4474,26.8235,24.3077,30.0781
CAMHDA301-20190121T181500,2019-01-21,CAMHDA301-2018,v2,9,0.4474,20.1176,18.2308,22.5586
CAMHDA301-20190128T001500,2019-01-28,CAMHDA301-2018,v2,8,0.4474,17.8824,16.2051,20.0521
CAMHDA301-20190128T031500,2019-01-28,CAMHDA301-2018,v2,6,0.4474,13.4118,12.1539,15.0391
CAMHDA301-20190128T061500,2019-01-28,CAMHDA301-2018,v2,1,0.4474,2.2353,2.0256,2.5065
CAMHDA301-20190128T091500,2019-01-28,CAMHDA301-2018,v2,6,0.4474,13.4118,12.1539,15.0391
CAMHDA301-20190128T121500,2019-01-28,CAMHDA301-2018,v2,13,0.4474,29.0588,26.3334,32.5846
CAMHDA301-20190128T211500,2019-01-28,CAMHDA301-2018,v2,16,0.4474,35.7647,32.4103,40.1042
CAMHDA301-20190204T001500,2019-02-04,CAMHDA301-2018,v2,10,0.4474,22.3529,20.2564,25.0651
CAMHDA301-20190204T031500,2019-02-04,CAMHDA301-2018,v2,15,0.4474,33.5294,30.3846,37.5977
CAMHDA301-20190204T061500,2019-02-04,CAMHDA301-2018,v2,11,0.4474,24.5882,22.2821,27.5716
CAMHDA301-20190204T091500,2019-02-04,CAMHDA301-2018,v2,12,0.4474,26.8235,24.3077,30.0781
CAMHDA301-20190204T121500,2019-02-04,CAMHDA301-2018,v2,9,0.4474,20.1176,18.2308,22.5586
CAMHDA301-20190204T151500,2019-02-04,CAMHDA301-2018,v2,20,0.4474,44.7059,40.5129,50.1302
CAMHDA301-20190204T181500,2019-02-04,CAMHDA301-2018,v2,7,0.4474,15.6471,14.1795,17.5456
CAMHDA301-20190204T211500,2019-02-04,CAMHDA301-2018,v2,12,0.4474,26.8235,24.3077,30.0781
CAMHDA301-20190211T001500,2019-02-11,CAMHDA301-2018,v2,11,0.4474,24.5882,22.2821,27.5716
CAMHDA301-20190211T031500,2019-02-11,CAMHDA301-2018,v2,12,0.4474,26.8235,24.3077,30.0781
CAMHDA301-20190211T061500,2019-02-11,CAMHDA301-2018,v2,9,0.4474,20.1176,18.2308,22.5586
CAMHDA301-20190211T091500,2019-02-11,CAMHDA301-2018,v2,11,0.4474,24.5882,22.2821,27.5716
CAMHDA301-20190211T151500,2019-02-11,CAMHDA301-2018,v2,9,0.4474,20.1176,18.2308,22.5586
CAMHDA301-20190211T181500,2019-02-11,CAMHDA301-2018,v2,20,0.4474,44.7059,40.5129,50.1302
CAMHDA301-20190211T211500,2019-02-11,CAMHDA301-2018,v2,15,0.4474,33.5294,30.3846,37.5977
CAMHDA301-20190218T001500,2019-02-18,CAMHDA301-2018,v2,12,0.4474,26.8235,24.3077,30.0781
CAMHDA301-20190218T031500,2019-02-18,CAMHDA301-2018,v2,10,0.4474,22.3529,20.2564,25.0651
CAMHDA301-20190218T061500,2019-02-18,CAMHDA301-2018,v2,8,0.4474,17.8824,16.2051,20.0521
CAMHDA301-20190218T121500,2019-02-18,CAMHDA301-2018,v2,18,0.4474,40.2353,36.4616,45.1172
CAMHDA301-20190225T001500,2019-02-25,CAMHDA301-2018,v2,15,0.4474,33.5294,30.3846,37.5977
CAMHDA301-20190225T031500,2019-02-25,CAMHDA301-2018,v2,9,0.4474,20.1176,18.2308,22.5586
CAMHDA301-20190225T061500,2019-02-25,CAMHDA301-2018,v2,8,0.4474,17.8824,16.2051,20.0521
CAMHDA301-20190225T091500,2019-02-25,CAMHDA301-2018,v2,2,0.4474,4.4706,4.0513,5.013
CAMHDA301-20190225T121500,2019-02-25,CAMHDA301-2018,v2,2,0.4474,4.4706,4.0513,5.013
CAMHDA301-20190225T151500,2019-02-25,CAMHDA301-2018,v2,0,0.4474,0.0,0.0,0.0
CAMHDA301-20190225T181500,2019-02-25,CAMHDA301-2018,v2,8,0.4474,17.8824,16.2051,20.0521
