frame_id,date,model,ai_count,in_training
CAMHDA301-20210906T001500,2021-09-06,v2,9,False
CAMHDA301-20210906T151500,2021-09-06,v2,11,False
CAMHDA301-20210913T151500,2021-09-13,v2,13,False
CAMHDA301-20210913T181500,2021-09-13,v2,10,False
CAMHDA301-20210913T211500,2021-09-13,v2,9,False
CAMHDA301-20210920T121500,2021-09-20,v2,10,False
CAMHDA301-20210927T001500,2021-09-27,v2,14,False
CAMHDA301-20210927T031500,2021-09-27,v2,11,False
CAMHDA301-20210927T061500,2021-09-27,v2,10,False
CAMHDA301-20210927T091500,2021-09-27,v2,9,False
CAMHDA301-20210927T151500,2021-09-27,v2,3,False
CAMHDA301-20210927T211500,2021-09-27,v2,7,False
CAMHDA301-20211004T001500,2021-10-04,v2,15,False
CAMHDA301-20211004T121500,2021-10-04,v2,6,False
CAMHDA301-20211004T181500,2021-10-04,v2,9,False
CAMHDA301-20211011T061500,2021-10-11,v2,14,False
CAMHDA301-20211011T091500,2021-10-11,v2,9,False
CAMHDA301-20211011T151500,2021-10-11,v2,6,False
CAMHDA301-20211018T091500,2021-10-18,v2,9,False
CAMHDA301-20211018T121500,2021-10-18,v2,13,False
CAMHDA301-20211018T211500,2021-10-18,v2,8,False
CAMHDA301-20211025T031500,2021-10-25,v2,5,False
CAMHDA301-20211025T061500,2021-10-25,v2,14,False
CAMHDA301-20211025T091500,2021-10-25,v2,9,False
CAMHDA301-20211025T121500,2021-10-25,v2,7,False
CAMHDA301-20211025T151500,2021-10-25,v2,6,False
CAMHDA301-20211025T181500,2021-10-25,v2,12,False
CAMHDA301-20211025T211500,2021-10-25,v2,8,False
CAMHDA301-20211108T001500,2021-11-08,v2,10,True
CAMHDA301-20211108T031500,2021-11-08,v2,12,False
CAMHDA301-20211108T061500,2021-11-08,v2,6,False
CAMHDA301-20211108T091500,2021-11-08,v2,7,False
CAMHDA301-20211108T121500,2021-11-08,v2,11,False
CAMHDA301-20211108T211500,2021-11-08,v2,11,False
CAMHDA301-20211115T031500,2021-11-15,v2,8,False
CAMHDA301-20211115T061500,2021-11-15,v2,11,False
CAMHDA301-20211115T091500,2021-11-15,v2,11,False
CAMHDA301-20211115T151500,2021-11-15,v2,9,False
CAMHDA301-20211122T031500,2021-11-22,v2,8,False
CAMHDA301-20211122T121500,2021-11-22,v2,11,False
CAMHDA301-20211122T151500,2021-11-22,v2,13,False
CAMHDA301-20211122T181500,2021-11-22,v2,5,False
CAMHDA301-20211129T001500,2021-11-29,v2,12,False
CAMHDA301-20211129T121500,2021-11-29,v2,9,False
CAMHDA301-20211129T151500,2021-11-29,v2,7,False
CAMHDA301-20211206T001500,2021-12-06,v2,14,False
CAMHDA301-20211206T031500,2021-12-06,v2,10,False
CAMHDA301-20211206T061500,2021-12-06,v2,8,False
