frame_id,date,model,ai_count,in_training
CAMHDA301-20210914T061500,2021-09-14,v2,5,False
CAMHDA301-20210914T091500,2021-09-14,v2,11,False
CAMHDA301-20210914T121500,2021-09-14,v2,12,False
CAMHDA301-20210921T001500,2021-09-21,v2,9,False
CAMHDA301-20210921T031500,2021-09-21,v2,13,False
CAMHDA301-20210921T061500,2021-09-21,v2,9,False
CAMHDA301-20210921T121500,2021-09-21,v2,9,False
CAMHDA301-20210921T151500,2021-09-21,v2,7,False
CAMHDA301-20210928T001500,2021-09-28,v2,12,False
CAMHDA301-20210928T031500,2021-09-28,v2,8,False
CAMHDA301-20210928T061500,2021-09-28,v2,12,False
CAMHDA301-20210928T121500,2021-09-28,v2,7,False
CAMHDA301-20210928T181500,2021-09-28,v2,4,False
CAMHDA301-20210928T211500,2021-09-28,v2,1,False
CAMHDA301-20211005T031500,2021-10-05,v2,9,False
CAMHDA301-20211005T061500,2021-10-05,v2,9,False
CAMHDA301-20211005T121500,2021-10-05,v2,6,False
CAMHDA301-20211012T031500,2021-10-12,v2,7,False
CAMHDA301-20211012T061500,2021-10-12,v2,9,False
CAMHDA301-20211012T091500,2021-10-12,v2,16,False
CAMHDA301-20211012T121500,2021-10-12,v2,8,False
CAMHDA301-20211012T151500,2021-10-12,v2,7,False
CAMHDA301-20211019T001500,2021-10-19,v2,7,False
CAMHDA301-20211019T121500,2021-10-19,v2,13,False
CAMHDA301-20211026T001500,2021-10-26,v2,7,False
CAMHDA301-20211026T031500,2021-10-26,v2,7,False
CAMHDA301-20211026T061500,2021-10-26,v2,8,False
CAMHDA301-20211026T091500,2021-10-26,v2,10,False
CAMHDA301-20211026T121500,2021-10-26,v2,9,False
CAMHDA301-20211026T151500,2021-10-26,v2,9,False
CAMHDA301-20211026T181500,2021-10-26,v2,8,False
CAMHDA301-20211026T211500,2021-10-26,v2,8,False
CAMHDA301-20211109T001500,2021-11-09,v2,9,False
CAMHDA301-20211109T061500,2021-11-09,v2,8,False
CAMHDA301-20211109T091500,2021-11-09,v2,15,False
CAMHDA301-20211109T121500,2021-11-09,v2,10,False
CAMHDA301-20211109T151500,2021-11-09,v2,4,False
CAMHDA301-20211109T211500,2021-11-09,v2,9,False
CAMHDA301-20211116T001500,2021-11-16,v2,8,False
CAMHDA301-20211116T031500,2021-11-16,v2,6,False
CAMHDA301-20211116T061500,2021-11-16,v2,7,False
CAMHDA301-20211116T151500,2021-11-16,v2,7,False
CAMHDA301-20211116T181500,2021-11-16,v2,9,False
CAMHDA301-20211116T211500,2021-11-16,v2,8,False
CAMHDA301-20211123T031500,2021-11-23,v2,10,False
CAMHDA301-20211123T061500,2021-11-23,v2,9,False
CAMHDA301-20211123T181500,2021-11-23,v2,6,False
CAMHDA301-20211123T211500,2021-11-23,v2,10,False
CAMHDA301-20211130T211500,2021-11-30,v2,9,False
CAMHDA301-20211207T031500,2021-12-07,v2,14,False
CAMHDA301-20211207T061500,2021-12-07,v2,9,False
CAMHDA301-20211207T091500,2021-12-07,v2,13,False
CAMHDA301-20211207T121500,2021-12-07,v2,9,False
CAMHDA301-20211214T001500,2021-12-14,v2,12,False
CAMHDA301-20211214T031500,2021-12-14,v2,11,False
CAMHDA301-20211214T061500,2021-12-14,v2,10,False
CAMHDA301-20211214T091500,2021-12-14,v2,9,False
CAMHDA301-20211214T121500,2021-12-14,v2,9,False
CAMHDA301-20211214T181500,2021-12-14,v2,8,False
CAMHDA301-20211214T211500,2021-12-14,v2,9,False
CAMHDA301-20211221T001500,2021-12-21,v2,13,False
CAMHDA301-20211221T031500,2021-12-21,v2,8,False
CAMHDA301-20211221T061500,2021-12-21,v2,8,False
CAMHDA301-20211221T091500,2021-12-21,v2,12,False
CAMHDA301-20211221T151500,2021-12-21,v2,6,False
CAMHDA301-20211221T181500,2021-12-21,v2,10,False
CAMHDA301-20211228T031500,2021-12-28,v2,12,False
CAMHDA301-20211228T061500,2021-12-28,v2,8,False
CAMHDA301-20211228T121500,2021-12-28,v2,10,False
CAMHDA301-20211228T151500,2021-12-28,v2,9,False
CAMHDA301-20211228T181500,2021-12-28,v2,11,False
CAMHDA301-20211228T211500,2021-12-28,v2,10,False
CAMHDA301-20220104T031500,2022-01-04,v2,9,False
CAMHDA301-20220104T061500,2022-01-04,v2,9,False
CAMHDA301-20220104T091500,2022-01-04,v2,13,False
CAMHDA301-20220104T121500,2022-01-04,v2,9,False
CAMHDA301-20220104T151500,2022-01-04,v2,11,False
CAMHDA301-20220104T181500,2022-01-04,v2,7,False
CAMHDA301-20220104T211500,2022-01-04,v2,13,False
CAMHDA301-20220111T001500,2022-01-11,v2,11,False
CAMHDA301-20220111T031500,2022-01-11,v2,10,False
CAMHDA301-20220111T151500,2022-01-11,v2,15,False
CAMHDA301-20220111T211500,2022-01-11,v2,16,False
CAMHDA301-20220118T001500,2022-01-18,v2,10,False
CAMHDA301-20220118T061500,2022-01-18,v2,10,False
CAMHDA301-20220118T181500,2022-01-18,v2,7,False
CAMHDA301-20220125T151500,2022-01-25,v2,4,False
CAMHDA301-20220125T181500,2022-01-25,v2,10,False
CAMHDA301-20220125T211500,2022-01-25,v2,7,False
CAMHDA301-20220208T001500,2022-02-08,v2,6,False
CAMHDA301-20220208T031500,2022-02-08,v2,10,False
CAMHDA301-20220208T061500,2022-02-08,v2,5,False
CAMHDA301-20220208T091500,2022-02-08,v2,2,False
CAMHDA301-20220208T121500,2022-02-08,v2,7,False
CAMHDA301-20220208T151500,2022-02-08,v2,7,False
CAMHDA301-20220208T211500,2022-02-08,v2,11,False
CAMHDA301-20220215T001500,2022-02-15,v2,8,False
CAMHDA301-20220215T031500,2022-02-15,v2,5,False
CAMHDA301-20220215T091500,2022-02-15,v2,8,False
CAMHDA301-20220215T151500,2022-02-15,v2,9,False
CAMHDA301-20220215T181500,2022-02-15,v2,5,False
CAMHDA301-20220215T211500,2022-02-15,v2,2,False
CAMHDA301-20220222T001500,2022-02-22,v2,8,False
CAMHDA301-20220222T031500,2022-02-22,v2,11,False
CAMHDA301-20220222T061500,2022-02-22,v2,8,False
CAMHDA301-20220222T121500,2022-02-22,v2,6,False
CAMHDA301-20220222T181500,2022-02-22,v2,9,False
CAMHDA301-20220222T211500,2022-02-22,v2,4,False
CAMHDA301-20220308T001500,2022-03-08,v2,7,False
CAMHDA301-20220308T031500,2022-03-08,v2,7,False
CAMHDA301-20220308T091500,2022-03-08,v2,4,False
CAMHDA301-20220308T121500,2022-03-08,v2,8,False
CAMHDA301-20220308T151500,2022-03-08,v2,4,False
CAMHDA301-20220308T181500,2022-03-08,v2,6,False
CAMHDA301-20220308T211500,2022-03-08,v2,2,False
CAMHDA301-20220315T061500,2022-03-15,v2,5,False
CAMHDA301-20220315T121500,2022-03-15,v2,5,False
CAMHDA301-20220315T181500,2022-03-15,v2,8,False
CAMHDA301-20220315T211500,2022-03-15,v2,7,False
CAMHDA301-20220322T031500,2022-03-22,v2,10,False
CAMHDA301-20220322T061500,2022-03-22,v2,7,False
CAMHDA301-20220322T091500,2022-03-22,v2,6,False
CAMHDA301-20220322T121500,2022-03-22,v2,14,False
CAMHDA301-20220322T151500,2022-03-22,v2,6,False
CAMHDA301-20220322T181500,2022-03-22,v2,10,False
CAMHDA301-20220322T211500,2022-03-22,v2,4,False
CAMHDA301-20220329T001500,2022-03-29,v2,9,False
CAMHDA301-20220329T031500,2022-03-29,v2,8,False
CAMHDA301-20220329T151500,2022-03-29,v2,7,False
CAMHDA301-20220329T181500,2022-03-29,v2,14,False
CAMHDA301-20220405T001500,2022-04-05,v2,10,False
CAMHDA301-20220405T031500,2022-04-05,v2,6,False
CAMHDA301-20220405T061500,2022-04-05,v2,8,False
CAMHDA301-20220405T091500,2022-04-05,v2,10,False
CAMHDA301-20220405T121500,2022-04-05,v2,10,False
CAMHDA301-20220405T151500,2022-04-05,v2,5,False
CAMHDA301-20220405T181500,2022-04-05,v2,12,False
CAMHDA301-20220412T001500,2022-04-12,v2,5,False
CAMHDA301-20220412T031500,2022-04-12,v2,4,False
CAMHDA301-20220412T061500,2022-04-12,v2,5,False
CAMHDA301-20220412T121500,2022-04-12,v2,12,False
CAMHDA301-20220412T151500,2022-04-12,v2,7,False
