week_start,daydepth_m,uplift_cm,uplift_rate_cm_yr
2016-12-26,-1511.2468,-5.3710938,22.431631
2017-01-02,-1511.1877,0.5371094,21.571743
2017-01-09,-1511.1903,0.28076172,36.56468
2017-01-16,-1511.1698,2.331543,44.5339
2017-01-23,-1511.1498,4.333496,70.753235
2017-01-30,-1511.1453,4.7851562,69.10862
2017-02-06,-1511.1552,3.7963867,73.77752
2017-02-13,-1511.1685,2.4658203,61.05465
2017-02-20,-1511.1531,4.0039062,39.043465
2017-02-27,-1511.1155,7.763672,28.560263
2017-03-06,-1511.1271,6.604004,35.94101
2017-03-13,-1511.1368,5.6274414,20.222013
2017-03-20,-1511.1117,8.14209,29.269194
2017-03-27,-1511.1039,8.92334,33.025166
2017-04-03,-1511.1113,8.178711,39.529987
2017-04-10,-1511.0966,9.655762,35.67156
2017-04-17,-1511.0983,9.484863,25.97273
2017-04-24,-1511.082,11.108398,27.98138
2017-05-01,-1511.0967,9.643555,31.397015
2017-05-08,-1511.0807,11.242676,23.807695
2017-05-15,-1511.0688,12.426758,23.232496
2017-05-22,-1511.0754,11.767578,25.766373
2017-05-29,-1511.0756,11.755371,22.485983
2017-06-05,-1511.088,10.510254,14.512503
2017-06-12,-1511.0668,12.634277,9.950753
2017-06-19,-1511.0558,13.73291,17.16438
2017-06-26,-1511.0557,13.745117,18.075382
2017-07-03,-1511.0487,14.440918,16.63503
2017-07-10,-1511.0574,13.574219,20.618286
2017-07-17,-1511.0349,15.8203125,29.316996
2017-07-24,-1511.073,12.011719,22.936502
2017-07-31,-1511.068,12.512207,5.3645163
2017-08-07,-1511.036,15.710449,-1.2228467
2017-08-14,-1511.0331,16.003418,6.865693
2017-08-21,-1511.0277,16.540527,12.853803
2017-08-28,-1511.0126,18.0542,24.031713
2017-09-04,-1510.9911,20.202637,36.42773
2017-09-11,-1510.9902,20.288086,55.199432
2017-09-18,-1510.9803,21.276855,63.768677
2017-09-25,-1510.9818,21.130371,57.005154
2017-10-02,-1510.9714,22.167969,44.46316
2017-10-09,-1510.9557,23.742676,48.021725
2017-10-16,-1510.9512,24.194336,43.730022
2017-10-23,-1510.9623,23.083496,36.870663
2017-10-30,-1510.9395,25.36621,29.684357
2017-11-06,-1510.9133,27.978516,40.543255
2017-11-13,-1510.9128,28.027344,46.68382
2017-11-20,-1510.9283,26.47705,47.384834
2017-11-27,-1510.8861,30.700684,42.5723
2017-12-04,-1510.9086,28.45459,45.837563
2017-12-11,-1510.8967,29.638672,41.18603
2017-12-18,-1510.8789,31.420898,40.537884
2017-12-25,-1510.8866,30.651855,27.677721
2018-01-01,-1510.8817,31.140137,28.99376
2018-01-08,-1510.8717,32.141113,30.305502
2018-01-15,-1510.8877,30.541992,25.13705
2018-01-22,-1510.8313,36.18164,28.66142
2018-01-29,-1510.859,33.410645,38.359932
2018-02-05,-1510.8461,34.70459,32.707954
2018-02-12,-1510.847,34.606934,31.502316
2018-02-19,-1510.8073,38.586426,38.63798
2018-02-26,-1510.788,40.515137,51.3006
2018-03-05,-1510.787,40.612793,59.58517
2018-03-12,-1510.7659,42.72461,62.64541
2018-03-19,-1510.7726,42.053223,65.03889
2018-03-26,-1510.7643,42.8833,71.04927
2018-04-02,-1510.7659,42.72461,59.815327
2018-04-09,-1510.746,44.714355,45.190147
2018-04-16,-1510.7363,45.67871,39.550682
2018-04-23,-1510.7477,44.543457,31.8768
2018-04-30,-1510.7369,45.617676,31.725534
2018-05-07,-1510.7346,45.84961,26.555937
2018-05-14,-1510.6945,49.865723,34.251328
2018-05-21,-1510.6932,49.987793,47.388706
2018-05-28,-1510.6976,49.54834,47.980812
2018-06-04,-1510.6956,49.75586,40.724205
2018-06-11,-1510.6908,50.231934,45.191593
2018-06-18,-1510.6945,49.865723,36.185623
2018-06-25,-1510.7174,47.5708,22.016407
2018-07-02,-1510.7125,48.059082,-4.6000857
2018-07-09,-1510.7133,47.98584,-15.449434
2018-07-16,-1510.7057,48.742676,-13.815751
2018-07-23,-1510.6976,49.54834,-9.593039
2018-07-30,-1510.6766,51.64795,-2.8740048
2018-08-06,-1510.692,50.109863,12.553733
2018-08-13,-1510.6816,51.14746,21.781603
2018-08-20,-1510.6614,53.17383,32.67331
2018-08-27,-1510.6395,55.358887,37.932106
2018-09-03,-1510.6445,54.8584,47.658455
2018-09-10,-1510.6163,57.678223,51.391876
2018-09-17,-1510.6271,56.604004,53.92025
2018-09-24,-1510.6093,58.38623,51.785892
2018-10-01,-1510.595,59.814453,
2018-10-08,-1510.577,61.608887,
2018-10-15,-1510.5897,60.339355,
2018-10-22,-1510.5848,60.827637,43.38178
2018-10-29,-1510.5751,61.8042,39.13632
2018-11-05,-1510.5618,63.134766,40.399055
2018-11-12,-1510.5641,62.902832,34.88018
2018-11-19,-1510.517,67.614746,37.119884
2018-11-26,-1510.5221,67.10205,46.492
2018-12-03,-1510.5039,68.9209,61.73588
2018-12-10,-1510.483,71.0083,74.201645
2018-12-17,-1510.4681,72.49756,78.777176
2018-12-24,-1510.4817,71.14258,74.99184
2018-12-31,-1510.4979,69.51904,64.83216
2019-01-07,-1510.4797,71.33789,38.08562
2019-01-14,-1510.4681,72.49756,27.60617
2019-01-21,-1510.4633,72.98584,24.959585
2019-01-28,-1510.4613,73.18115,16.599623
2019-02-04,-1510.4298,76.33057,22.230381
2019-02-11,-1510.406,78.71094,42.8187
2019-02-18,-1510.4006,79.24805,65.54186
2019-02-25,-1510.4252,76.79443,67.82574
2019-03-04,-1510.4283,76.47705,45.273945
2019-03-11,-1510.4299,76.31836,33.98196
2019-03-18,-1510.4187,77.44141,19.59105
2019-03-25,-1510.4199,77.319336,5.159339
2019-04-01,-1510.4073,78.57666,-5.3078523
2019-04-08,-1510.3954,79.77295,-1.0446203
2019-04-15,-1510.3757,81.73828,24.27116
2019-04-22,-1510.386,80.71289,40.925987
2019-04-29,-1510.3796,81.34766,37.008274
2019-05-06,-1510.3815,81.16455,39.08897
2019-05-13,-1510.3708,82.22656,31.755411
2019-05-20,-1510.3978,79.52881,23.489553
2019-05-27,-1510.3884,80.46875,1.7690812
2019-06-03,-1510.3934,79.96826,-5.8726397
2019-06-10,-1510.4062,78.68652,-14.038855
2019-06-17,-1510.4271,76.59912,-23.38263
2019-06-24,-1510.409,78.40576,-30.943512
2019-07-01,-1510.4196,77.35596,-34.67556
2019-07-08,-1510.4092,78.393555,-24.920248
2019-07-15,-1510.4215,77.160645,-16.827564
2019-07-22,-1510.3993,79.382324,-15.6149435
2019-07-29,-1510.3898,80.33447,2.5800996
2019-08-05,-1510.363,83.00781,26.579725
2019-08-12,-1510.3887,80.444336,34.042976
2019-08-19,-1510.3834,80.96924,34.838097
2019-08-26,-1510.3826,81.05469,24.613474
2019-09-02,-1510.3737,81.9458,28.960037
2019-09-09,-1510.3678,82.53174,24.271374
2019-09-16,-1510.3613,83.17871,13.19705
2019-09-23,-1510.3329,86.02295,17.35316
2019-09-30,-1510.3368,85.632324,35.32331
2019-10-07,-1510.3461,84.70459,40.158047
2019-10-14,-1510.3281,86.49902,41.5693
2019-10-21,-1510.3475,84.558105,32.33815
2019-10-28,-1510.3516,84.15527,24.77711
2019-11-04,-1510.3553,83.776855,5.142946
2019-11-11,-1510.3318,86.13281,-3.0942845
2019-11-18,-1510.3024,89.07471,2.2181358
2019-11-25,-1510.29,90.30762,26.641903
2019-12-02,-1510.3016,89.14795,35.945637
2019-12-09,-1510.2883,90.478516,47.830288
2019-12-16,-1510.2814,91.17432,56.203465
2019-12-23,-1510.2902,90.29541,52.64726
2019-12-30,-1510.2917,90.13672,34.553814
2020-01-06,-1510.2833,90.979004,19.196194
2020-01-13,-1510.259,93.4082,13.968698
2020-01-20,-1510.2771,91.60156,19.201832
2020-01-27,-1510.2673,92.578125,18.320038
2020-02-03,-1510.2776,91.552734,15.760581
2020-02-10,-1510.2614,93.17627,14.652122
2020-02-17,-1510.2626,93.0542,18.571651
2020-02-24,-1510.2513,94.177246,15.733451
2020-03-02,-1510.2526,94.055176,14.36567
2020-03-09,-1510.252,94.11621,13.228247
2020-03-16,-1510.2509,94.226074,20.05015
2020-03-23,-1510.2347,95.8374,18.101925
2020-03-30,-1510.244,94.90967,19.721594
2020-04-06,-1510.2406,95.251465,17.263159
2020-04-13,-1510.2545,93.85986,9.467714
2020-04-20,-1510.2334,95.97168,7.2703815
2020-04-27,-1510.2354,95.77637,9.91858
2020-05-04,-1510.2317,96.14258,9.532326
2020-05-11,,,
2020-05-18,,,
2020-05-25,,,
2020-06-01,-1510.2456,94.75098,
2020-06-08,-1510.2404,95.27588,
2020-06-15,-1510.2386,95.44678,
2020-06-22,-1510.2408,95.22705,
2020-06-29,-1510.2422,95.09277,
2020-07-06,-1510.2461,94.70215,
2020-07-13,-1510.2429,95.01953,-0.94924915
2020-07-20,-1510.2283,96.484375,-1.1572506
2020-07-27,-1510.2194,97.37549,9.39569
2020-08-03,-1510.212,98.10791,14.091857
2020-08-10,-1510.226,96.71631,22.692434
2020-08-17,-1510.2031,98.99902,22.788452
2020-08-24,-1510.2081,98.498535,31.56801
2020-08-31,-1510.1931,100.0,29.829311
2020-09-07,-1510.2008,99.23096,28.24077
2020-09-14,-1510.1869,100.62256,18.660635
2020-09-21,-1510.1957,99.74365,23.632902
2020-09-28,-1510.1895,100.36621,21.206099
2020-10-05,-1510.2008,99.23096,16.33999
2020-10-12,-1510.1835,100.964355,7.542254
2020-10-19,-1510.2211,97.20459,3.253429
2020-10-26,-1510.2129,98.02246,-14.37482
2020-11-02,-1510.19,100.31738,-12.784266
2020-11-09,-1510.1593,103.38135,-2.7826505
2020-11-16,-1510.1522,104.089355,22.348598
2020-11-23,-1510.165,102.80762,33.68838
2020-11-30,-1510.191,100.20752,32.45985
2020-12-07,-1510.1757,101.745605,24.251583
2020-12-14,-1510.1741,101.9043,26.235876
2020-12-21,-1510.1814,101.171875,-0.4106854
2020-12-28,-1510.1825,101.06201,-12.5745325
2021-01-04,-1510.1493,104.382324,-10.726606
2021-01-11,-1510.166,102.70996,1.0120735
2021-01-18,-1510.1619,103.125,13.753738
2021-01-25,-1510.1244,106.87256,31.537151
