week_start,eq_count_all,eq_count_mc,eq_max_mw
2016-12-26,3,0,0.23
2017-01-02,16,6,0.92
2017-01-09,19,6,0.84
2017-01-16,40,11,0.79
2017-01-23,40,24,1.94
2017-01-30,8,1,0.43
2017-02-06,6,1,0.3
2017-02-13,19,3,0.69
2017-02-20,33,12,0.7
2017-02-27,43,16,0.91
2017-03-06,43,12,1.3
2017-03-13,29,9,0.68
2017-03-20,37,10,0.79
2017-03-27,55,10,1.13
2017-04-03,37,3,0.45
2017-04-10,45,10,0.73
2017-04-17,28,5,1.04
2017-04-24,27,6,0.41
2017-05-01,31,5,1.08
2017-05-08,40,8,0.78
2017-05-15,38,15,1.39
2017-05-22,20,3,0.29
2017-05-29,46,6,1.2
2017-06-05,40,6,0.79
2017-06-12,25,4,0.97
2017-06-19,38,9,0.84
2017-06-26,60,14,1.06
2017-07-03,67,12,0.86
2017-07-10,34,5,1.0
2017-07-17,31,7,0.63
2017-07-24,13,3,0.88
2017-07-31,52,12,0.72
2017-08-07,54,11,1.08
2017-08-14,69,15,0.63
2017-08-21,85,24,1.25
2017-08-28,62,13,0.98
2017-09-04,72,12,0.52
2017-09-11,108,26,1.34
2017-09-18,71,29,1.16
2017-09-25,91,26,0.93
2017-10-02,50,15,1.13
2017-10-09,48,17,1.0
2017-10-16,53,21,0.85
2017-10-23,72,21,1.24
2017-10-30,60,21,1.17
2017-11-06,80,33,1.09
2017-11-13,28,9,0.75
2017-11-20,37,15,0.7
2017-11-27,34,19,0.84
2017-12-04,58,32,1.07
2017-12-11,34,26,1.01
2017-12-18,6,3,0.59
2017-12-25,3,2,1.01
2018-01-01,3,1,0.45
2018-01-08,11,6,1.22
2018-01-15,13,5,0.92
2018-01-22,45,14,0.63
2018-01-29,88,30,1.46
2018-02-05,42,9,0.91
2018-02-12,130,45,1.29
2018-02-19,142,44,1.14
2018-02-26,135,49,1.62
2018-03-05,117,26,1.07
2018-03-12,166,54,1.04
2018-03-19,191,63,1.19
2018-03-26,123,30,0.99
2018-04-02,180,56,1.01
2018-04-09,266,80,1.09
2018-04-16,316,72,1.1
2018-04-23,278,66,1.18
2018-04-30,197,46,1.2
2018-05-07,292,66,1.05
2018-05-14,396,76,1.23
2018-05-21,178,51,1.3
2018-05-28,291,72,1.17
2018-06-04,364,81,1.43
2018-06-11,175,43,1.02
2018-06-18,18,3,0.96
2018-06-25,10,5,0.77
2018-07-02,16,0,0.19
2018-07-09,18,1,0.29
2018-07-16,47,14,1.51
2018-07-23,89,15,0.78
2018-07-30,282,62,1.0
2018-08-06,154,39,1.73
2018-08-13,73,18,0.95
2018-08-20,247,63,1.17
2018-08-27,488,99,1.04
2018-09-03,590,130,1.75
2018-09-10,565,134,1.47
2018-09-17,616,147,1.55
2018-09-24,239,58,1.21
2018-10-01,367,94,1.24
2018-10-08,331,98,1.43
2018-10-15,46,9,1.07
2018-10-22,32,12,0.83
2018-10-29,177,58,1.16
2018-11-05,416,123,1.78
2018-11-12,355,126,1.37
2018-11-19,265,94,1.27
2018-11-26,204,96,1.33
2018-12-03,234,85,1.32
2018-12-10,186,95,1.19
2018-12-17,32,13,0.77
2018-12-24,34,18,1.69
2018-12-31,70,41,0.99
2019-01-07,260,154,1.29
2019-01-14,395,177,1.31
2019-01-21,472,177,2.1
2019-01-28,419,139,1.38
2019-02-04,227,95,1.5
2019-02-11,351,125,1.51
2019-02-18,263,86,1.59
2019-02-25,481,155,1.78
2019-03-04,469,106,1.3
2019-03-11,442,121,1.83
2019-03-18,663,258,1.83
2019-03-25,572,148,1.57
2019-04-01,320,61,1.24
2019-04-08,245,50,1.32
