stem,dt,scene1_time_s,human_count
CAMHDA301-20230102T001500,2023-01-02T00:15:00,210.0,2
CAMHDA301-20230109T001500,2023-01-09T00:15:00,300.0,2
CAMHDA301-20230109T031500,2023-01-09T03:15:00,210.0,16
CAMHDA301-20230109T061500,2023-01-09T06:15:00,300.0,14
CAMHDA301-20230109T091500,2023-01-09T09:15:00,210.0,14
CAMHDA301-20230109T121500,2023-01-09T12:15:00,180.0,27
CAMHDA301-20230109T151500,2023-01-09T15:15:00,210.0,23
CAMHDA301-20230109T181500,2023-01-09T18:15:00,210.0,21
CAMHDA301-20230109T211500,2023-01-09T21:15:00,210.0,18
CAMHDA301-20230116T001500,2023-01-16T00:15:00,420.0,16
CAMHDA301-20230116T031500,2023-01-16T03:15:00,300.0,13
CAMHDA301-20230116T091500,2023-01-16T09:15:00,210.0,12
CAMHDA301-20230116T121500,2023-01-16T12:15:00,420.0,14
CAMHDA301-20230116T151500,2023-01-16T15:15:00,420.0,15
CAMHDA301-20230116T181500,2023-01-16T18:15:00,240.0,21
CAMHDA301-20230116T211500,2023-01-16T21:15:00,210.0,14
CAMHDA301-20230123T001500,2023-01-23T00:15:00,420.0,14
CAMHDA301-20230123T031500,2023-01-23T03:15:00,210.0,9
CAMHDA301-20230123T061500,2023-01-23T06:15:00,210.0,22
CAMHDA301-20230123T091500,2023-01-23T09:15:00,420.0,25
CAMHDA301-20230123T121500,2023-01-23T12:15:00,210.0,13
CAMHDA301-20230123T151500,2023-01-23T15:15:00,210.0,12
CAMHDA301-20230123T181500,2023-01-23T18:15:00,420.0,17
CAMHDA301-20230123T211500,2023-01-23T21:15:00,420.0,20
CAMHDA301-20230130T001500,2023-01-30T00:15:00,420.0,11
CAMHDA301-20230130T031500,2023-01-30T03:15:00,420.0,11
CAMHDA301-20230130T061500,2023-01-30T06:15:00,180.0,16
CAMHDA301-20230130T121500,2023-01-30T12:15:00,420.0,15
CAMHDA301-20230130T151500,2023-01-30T15:15:00,210.0,17
CAMHDA301-20230130T181500,2023-01-30T18:15:00,180.0,2
CAMHDA301-20230130T211500,2023-01-30T21:15:00,180.0,9
