ym,ts,n_frames,n_black,sharp_median,sharp_p90,sharp_max,brightness,contrast,note,path
2015-07,20150709T121400,0,0,,,,,,corrupt/no-duration,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/07/09/CAMHDA301-20150709T121400Z.mp4
2015-07,20150711T003200,0,0,,,,,,corrupt/no-duration,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/07/11/CAMHDA301-20150711T003200Z.mp4
2015-07,20150715T213637,5,3,620.4,1944.1,2753.6,87.85,48.59,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/07/15/CAMHDA301-20150715T213637Z.mp4
2015-07,20150716T010015,8,0,953.1,953.3,953.4,96.44,55.74,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/07/16/CAMHDA301-20150716T010015Z_01.mp4
2015-07,20150713T181200,8,0,290.2,439.0,592.2,91.82,41.93,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/07/13/CAMHDA301-20150713T181200Z.mp4
2015-07,20150727T230015,8,0,407.6,992.2,1106.7,97.64,41.12,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/07/27/CAMHDA301-20150727T230015Z.mp4
2015-07,20150724T212015,8,0,417.1,527.1,747.3,110.62,46.97,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/07/24/CAMHDA301-20150724T212015Z.mp4
2015-07,20150728T001515,8,0,436.7,1089.6,1184.2,98.04,42.03,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/07/28/CAMHDA301-20150728T001515Z.mp4
2015-07,20150724T220057,8,0,144.0,404.4,412.5,99.39,36.58,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/07/24/CAMHDA301-20150724T220057Z.mp4
2015-07,20150725T231053,8,0,253.9,409.6,495.4,98.68,36.98,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/07/25/CAMHDA301-20150725T231053Z.mp4
2015-07,20150710T183300,8,0,402.3,879.1,948.0,98.24,46.94,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/07/10/CAMHDA301-20150710T183300Z.mp4
2015-08,20150804T173021,8,0,387.9,603.6,830.8,93.77,41.22,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/08/04/CAMHDA301-20150804T173021Z.mp4
2015-07,20150723T162100,8,0,728.2,756.8,778.3,109.68,62.03,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/07/23/CAMHDA301-20150723T162100Z.mp4
2015-08,20150804T180021,8,0,475.1,796.4,1173.6,96.04,40.88,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/08/04/CAMHDA301-20150804T180021Z.mp4
2015-08,20150804T183021,8,0,240.4,515.6,766.5,99.50,37.96,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/08/04/CAMHDA301-20150804T183021Z.mp4
2015-08,20150805T070015,8,0,337.4,853.9,952.7,97.04,41.07,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/08/05/CAMHDA301-20150805T070015Z.mp4
2015-08,20150804T220020,8,0,326.3,419.5,484.2,100.27,36.77,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/08/04/CAMHDA301-20150804T220020Z.mp4
2015-09,20150902T070020,8,0,274.4,435.5,519.8,95.06,37.44,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/09/02/CAMHDA301-20150902T070020Z.mp4
2015-08,20150805T130015,8,0,277.8,691.0,985.4,97.67,39.42,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/08/05/CAMHDA301-20150805T130015Z.mp4
2015-08,20150805T100015,8,0,611.4,992.4,1085.0,102.87,46.39,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/08/05/CAMHDA301-20150805T100015Z.mp4
2015-08,20150805T160019,8,0,597.5,1089.8,1320.2,94.85,42.78,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/08/05/CAMHDA301-20150805T160019Z.mp4
2015-08,20150805T010020,8,0,369.2,614.3,915.8,94.50,40.89,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/08/05/CAMHDA301-20150805T010020Z.mp4
2015-08,20150826T220017,8,0,242.3,538.4,802.1,97.35,35.48,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/08/26/CAMHDA301-20150826T220017Z.mp4
2015-08,20150825T210019,8,0,229.2,542.3,858.7,96.21,36.06,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2015/08/25/CAMHDA301-20150825T210019Z.mp4
