month,n,sharp_med,sharp_q25,sharp_q75,brightness,contrast
2015-07-01,10,412.35,318.225,574.475,98.14,44.485
2015-08-01,12,339.29999999999995,268.925,409.7,97.195,40.150000000000006
2015-09-01,12,248.1,229.925,266.75,97.05,35.89
2015-10-01,12,264.20000000000005,214.22500000000002,294.7,96.19,37.605000000000004
2015-11-01,12,159.14999999999998,138.92499999999998,232.775,91.4,38.135
2015-12-01,12,104.5,84.925,126.55000000000001,91.48,36.525
2016-01-01,11,212.6,159.6,238.25,88.78,40.79
2016-02-01,12,140.9,121.94999999999999,180.9,89.39,39.0
2016-03-01,12,191.85,128.725,219.575,88.28999999999999,39.95
2016-04-01,12,227.64999999999998,187.25,262.5,96.66499999999999,42.980000000000004
2016-05-01,12,184.6,169.39999999999998,223.45,90.005,38.25
2016-06-01,12,146.75,137.55,247.3,89.685,36.545
2016-07-01,12,172.3,131.67499999999998,215.4,89.59,38.92
2016-08-01,12,627.5999999999999,491.25,699.5749999999999,84.28,45.34
2016-09-01,10,369.9,284.0,402.425,87.185,40.355000000000004
2016-10-01,12,295.29999999999995,264.8,322.825,89.035,39.91
2016-11-01,10,334.5,192.625,372.325,80.145,40.025000000000006
2016-12-01,12,69.05,43.925,212.8,95.435,32.31
2017-01-01,11,132.8,39.3,225.75,88.96,36.62
2017-02-01,12,83.15,29.2,137.7,92.22,29.475
2017-03-01,12,63.15,28.75,141.1,87.145,29.03
2017-04-01,12,33.25,29.75,168.8,87.88,20.59
2017-06-01,2,625.6,606.6500000000001,644.55,93.93,51.09
2017-08-01,12,723.65,653.225,785.4,85.745,58.565
2017-09-01,12,720.2,664.75,764.75,86.06,59.004999999999995
2017-10-01,6,671.6500000000001,624.475,711.1,84.575,59.505
2017-11-01,5,648.9,612.6,688.1,67.88,62.16
2018-07-01,11,486.5,284.4,508.20000000000005,71.08,51.36
2018-08-01,11,175.5,93.25,413.85,70.89,46.31
2018-09-01,12,313.9,150.625,467.67499999999995,77.86000000000001,46.364999999999995
2018-10-01,11,300.3,151.5,417.9,69.37,43.95
2018-11-01,12,257.25,77.15,334.25,71.23,43.519999999999996
2018-12-01,12,210.75,133.47500000000002,385.15,54.084999999999994,45.864999999999995
2019-01-01,11,113.1,49.0,406.8,54.11,43.88
2019-02-01,12,141.15,106.0,265.475,58.58,47.91
2019-03-01,12,221.2,93.875,341.275,61.135000000000005,45.58
2019-04-01,12,211.85,176.1,387.54999999999995,62.67,50.355000000000004
2019-05-01,12,171.85,96.1,242.475,59.82,49.06
2019-06-01,12,214.0,109.75,316.04999999999995,71.97999999999999,43.735
2019-07-01,9,138.4,50.2,433.7,77.56,43.47
2019-09-01,1,362.3,362.3,362.3,90.69,46.29
2020-08-01,10,392.3,372.625,423.825,74.71000000000001,43.625
2020-09-01,11,253.1,134.55,1286.15,77.09,39.94
2020-10-01,11,132.4,88.3,219.0,79.92,38.34
2020-11-01,7,131.1,91.4,197.85,76.37,37.14
2020-12-01,12,143.2,63.02499999999999,193.85,75.49000000000001,34.925
2021-01-01,12,126.15,85.8,212.775,81.73500000000001,36.795
2021-02-01,12,117.9,85.425,301.5,79.105,39.385
2021-03-01,12,173.9,88.475,313.425,85.14500000000001,42.45
2021-04-01,12,167.1,98.89999999999999,366.97499999999997,78.235,42.225
2021-05-01,12,198.85,84.65,310.52500000000003,86.3,39.055
2021-06-01,12,119.6,89.6,214.35,81.09,33.96
2021-07-01,12,205.5,77.57499999999999,412.35,85.12,39.41
2021-08-01,11,145.5,115.15,255.39999999999998,105.77,34.94
2021-09-01,12,290.55,210.2,473.975,87.47,47.41
2021-10-01,12,345.4,275.175,547.55,88.905,48.725
2021-11-01,12,262.85,110.75,382.65,84.30000000000001,42.005
2021-12-01,12,387.95,234.45,535.725,82.78,47.19
2022-01-01,12,291.5,197.925,364.45,80.23500000000001,49.385000000000005
2022-02-01,11,311.1,73.5,444.04999999999995,78.96,42.28
2022-03-01,7,337.3,209.5,408.95000000000005,81.98,47.17
2022-04-01,12,207.35000000000002,121.875,325.175,84.45,43.769999999999996
2022-05-01,12,287.5,163.675,446.025,88.515,49.425
2022-06-01,12,354.15,120.175,486.4,85.55,49.485
2022-07-01,12,294.15,175.575,430.35,85.41499999999999,47.29
2022-08-01,11,279.4,184.7,427.55,87.04,46.46
2022-09-01,12,301.45,177.15,473.9,85.195,43.235
2022-10-01,11,244.0,170.5,466.54999999999995,88.51,48.4
2022-11-01,11,257.9,154.05,459.45,86.56,50.19
2022-12-01,7,489.8,253.35,513.05,85.39,50.75
2023-01-01,12,264.1,203.975,442.75,89.58500000000001,51.07
2023-02-01,12,290.5,144.425,415.55,90.625,51.974999999999994
2023-03-01,12,294.65,176.0,444.95,86.785,51.095
2023-04-01,12,382.6,142.85000000000002,759.375,90.135,50.31
2023-05-01,12,534.95,374.0,681.7,92.005,50.615
2023-06-01,9,309.0,243.7,567.4,99.74,51.64
2023-07-01,11,240.0,160.5,442.3,89.88,51.02
2023-08-01,12,334.4,217.57500000000002,548.5,95.275,55.474999999999994
2023-09-01,12,231.95,84.05,279.425,64.55,36.9
2023-10-01,12,146.39999999999998,115.35000000000001,241.35,65.61500000000001,37.095
2023-11-01,11,98.8,65.75,122.15,68.23,28.69
2023-12-01,4,128.39999999999998,94.07499999999999,137.875,76.145,35.785
2024-01-01,12,109.75,77.42500000000001,193.05,87.24000000000001,34.864999999999995
2024-02-01,12,162.8,129.05,240.175,101.47999999999999,35.535
2024-03-01,12,126.1,94.225,223.55,89.84,31.599999999999998
2024-04-01,11,208.6,115.4,267.9,88.94,30.6
2024-05-01,12,171.45,137.2,232.525,92.14,38.795
2024-06-01,12,115.3,92.875,138.70000000000002,93.35,32.84
2024-07-01,12,163.14999999999998,123.4,237.075,95.61500000000001,34.34
2024-08-01,12,236.05,143.325,282.425,94.77,43.39
2024-09-01,11,269.6,228.45,313.0,83.7,48.35
2024-10-01,12,220.55,182.025,265.1,83.11,42.855000000000004
2024-11-01,12,174.05,96.025,207.375,83.13,40.035
2024-12-01,11,110.7,72.55000000000001,146.2,81.53,34.46
2025-01-01,11,193.2,154.2,237.65,82.12,39.92
2025-02-01,12,143.25,94.69999999999999,180.54999999999998,92.02,38.295
2025-03-01,12,128.7,108.42500000000001,159.72500000000002,80.32499999999999,35.075
2025-04-01,12,120.4,94.475,129.55,83.795,37.475
2025-05-01,12,155.10000000000002,118.375,222.5,81.28999999999999,40.455
2025-06-01,12,158.85000000000002,135.72500000000002,191.0,79.695,41.08
2025-07-01,12,219.3,168.17499999999998,288.625,84.305,45.2
2025-08-01,12,291.79999999999995,148.65,406.875,78.02000000000001,43.165
2025-09-01,4,249.7,182.225,310.575,54.07,39.41
2025-10-01,11,174.0,124.05,206.6,57.73,36.68
2025-11-01,12,160.8,137.7,169.75,54.485,38.305
2025-12-01,12,126.85,116.85000000000001,144.05,55.435,37.785
2026-01-01,12,96.85,76.75,109.9,57.864999999999995,35.519999999999996
2026-02-01,12,51.55,48.425,58.75,59.075,33.53
2026-03-01,12,49.25,42.1,52.625,57.89,29.375
2026-04-01,11,49.5,47.25,53.5,59.78,29.43
2026-05-01,12,103.6,94.775,108.075,52.64,34.92
2026-06-01,12,65.15,52.125,83.175,55.415,33.065
2026-07-01,12,169.05,124.975,178.15,52.18,36.379999999999995
2026-08-01,12,252.2,192.1,378.075,71.125,41.269999999999996
2026-09-01,12,90.5,57.775000000000006,174.225,73.0,40.92
