stem,dt,brightness,contrast,sharpness
CAMHDA301-20230102T001500,2023-01-02T00:15:00,107.95,35.63,135.5
CAMHDA301-20230109T001500,2023-01-09T00:15:00,103.53,55.94,438.7
CAMHDA301-20230109T031500,2023-01-09T03:15:00,119.02,41.17,236.7
CAMHDA301-20230109T061500,2023-01-09T06:15:00,103.98,53.12,254.9
CAMHDA301-20230109T091500,2023-01-09T09:15:00,120.34,39.70,251.7
CAMHDA301-20230109T121500,2023-01-09T12:15:00,113.94,40.94,724.6
CAMHDA301-20230109T151500,2023-01-09T15:15:00,116.14,41.88,278.2
CAMHDA301-20230109T181500,2023-01-09T18:15:00,114.73,41.44,258.7
CAMHDA301-20230109T211500,2023-01-09T21:15:00,120.16,39.72,142.6
CAMHDA301-20230116T001500,2023-01-16T00:15:00,115.99,38.25,165.4
CAMHDA301-20230116T031500,2023-01-16T03:15:00,103.47,52.96,312.1
CAMHDA301-20230116T091500,2023-01-16T09:15:00,112.29,40.15,265.8
CAMHDA301-20230116T121500,2023-01-16T12:15:00,116.43,40.34,181.8
CAMHDA301-20230116T151500,2023-01-16T15:15:00,117.03,40.93,182.1
CAMHDA301-20230116T181500,2023-01-16T18:15:00,111.26,42.29,776.7
CAMHDA301-20230116T211500,2023-01-16T21:15:00,117.65,39.36,166.8
CAMHDA301-20230123T001500,2023-01-23T00:15:00,113.64,40.36,130.0
CAMHDA301-20230123T031500,2023-01-23T03:15:00,119.07,45.23,267.4
CAMHDA301-20230123T061500,2023-01-23T06:15:00,116.15,44.64,281.8
CAMHDA301-20230123T091500,2023-01-23T09:15:00,115.70,39.28,116.3
CAMHDA301-20230123T121500,2023-01-23T12:15:00,118.43,40.37,143.0
CAMHDA301-20230123T151500,2023-01-23T15:15:00,116.11,41.67,250.6
CAMHDA301-20230123T181500,2023-01-23T18:15:00,115.35,42.57,116.7
CAMHDA301-20230123T211500,2023-01-23T21:15:00,115.96,43.90,145.2
CAMHDA301-20230130T001500,2023-01-30T00:15:00,116.53,41.82,219.9
CAMHDA301-20230130T031500,2023-01-30T03:15:00,113.88,39.65,165.8
CAMHDA301-20230130T061500,2023-01-30T06:15:00,116.17,43.79,203.1
CAMHDA301-20230130T121500,2023-01-30T12:15:00,116.67,41.96,198.5
CAMHDA301-20230130T151500,2023-01-30T15:15:00,118.26,37.55,240.4
CAMHDA301-20230130T181500,2023-01-30T18:15:00,117.46,42.23,228.2
CAMHDA301-20230130T211500,2023-01-30T21:15:00,116.26,40.87,249.1
CAMHDA301-20230206T001500,2023-02-06T00:15:00,116.37,41.28,172.2
CAMHDA301-20230206T031500,2023-02-06T03:15:00,117.09,42.92,162.4
CAMHDA301-20230206T061500,2023-02-06T06:15:00,115.75,40.31,153.8
CAMHDA301-20230206T091500,2023-02-06T09:15:00,110.05,39.61,194.2
CAMHDA301-20230206T121500,2023-02-06T12:15:00,115.09,38.59,138.6
CAMHDA301-20230206T151500,2023-02-06T15:15:00,120.29,41.20,154.3
CAMHDA301-20230206T181500,2023-02-06T18:15:00,112.48,44.64,187.1
CAMHDA301-20230206T211500,2023-02-06T21:15:00,113.11,40.84,128.6
CAMHDA301-20230213T001500,2023-02-13T00:15:00,116.22,38.30,149.5
CAMHDA301-20230213T031500,2023-02-13T03:15:00,114.47,38.09,117.9
CAMHDA301-20230213T061500,2023-02-13T06:15:00,111.01,42.08,152.5
CAMHDA301-20230213T091500,2023-02-13T09:15:00,116.24,44.46,240.1
CAMHDA301-20230213T121500,2023-02-13T12:15:00,112.14,39.12,94.8
CAMHDA301-20230213T151500,2023-02-13T15:15:00,118.26,41.25,237.7
CAMHDA301-20230213T181500,2023-02-13T18:15:00,119.19,36.20,210.2
CAMHDA301-20230213T211500,2023-02-13T21:15:00,112.81,41.56,162.6
CAMHDA301-20230220T031500,2023-02-20T03:15:00,113.28,41.62,163.1
CAMHDA301-20230227T031500,2023-02-27T03:15:00,109.45,38.16,108.4
CAMHDA301-20230227T061500,2023-02-27T06:15:00,115.93,42.95,302.6
CAMHDA301-20230227T091500,2023-02-27T09:15:00,112.45,40.03,237.6
CAMHDA301-20230227T121500,2023-02-27T12:15:00,107.41,37.80,118.9
CAMHDA301-20230227T151500,2023-02-27T15:15:00,108.13,37.37,142.6
CAMHDA301-20230227T181500,2023-02-27T18:15:00,113.81,42.96,255.3
CAMHDA301-20230227T211500,2023-02-27T21:15:00,115.25,44.07,279.5
CAMHDA301-20230306T001500,2023-03-06T00:15:00,111.99,41.72,226.6
CAMHDA301-20230306T031500,2023-03-06T03:15:00,110.24,42.67,252.6
CAMHDA301-20230306T061500,2023-03-06T06:15:00,112.88,42.06,127.1
CAMHDA301-20230306T091500,2023-03-06T09:15:00,113.21,43.16,287.0
CAMHDA301-20230306T121500,2023-03-06T12:15:00,113.30,40.25,190.5
CAMHDA301-20230306T151500,2023-03-06T15:15:00,109.41,33.23,106.4
CAMHDA301-20230306T181500,2023-03-06T18:15:00,110.45,40.34,164.9
CAMHDA301-20230306T211500,2023-03-06T21:15:00,109.26,35.15,135.4
CAMHDA301-20230313T001500,2023-03-13T00:15:00,112.92,40.86,178.5
CAMHDA301-20230313T031500,2023-03-13T03:15:00,115.59,43.48,299.2
CAMHDA301-20230313T061500,2023-03-13T06:15:00,111.98,42.68,252.2
CAMHDA301-20230313T091500,2023-03-13T09:15:00,115.44,44.89,304.8
CAMHDA301-20230313T121500,2023-03-13T12:15:00,111.39,35.91,116.2
CAMHDA301-20230313T151500,2023-03-13T15:15:00,112.20,37.11,134.1
CAMHDA301-20230313T181500,2023-03-13T18:15:00,107.04,40.46,527.4
CAMHDA301-20230320T031500,2023-03-20T03:15:00,111.15,43.33,222.0
CAMHDA301-20230327T061500,2023-03-27T06:15:00,107.28,40.39,130.2
CAMHDA301-20230327T091500,2023-03-27T09:15:00,111.18,42.93,267.4
CAMHDA301-20230327T121500,2023-03-27T12:15:00,107.85,35.77,178.2
CAMHDA301-20230327T151500,2023-03-27T15:15:00,111.42,39.30,240.3
CAMHDA301-20230327T181500,2023-03-27T18:15:00,112.70,42.61,236.7
CAMHDA301-20230327T211500,2023-03-27T21:15:00,112.67,40.74,219.9
CAMHDA301-20230410T031500,2023-04-10T03:15:00,107.37,39.54,201.6
CAMHDA301-20230417T001500,2023-04-17T00:15:00,106.03,39.59,161.5
CAMHDA301-20230417T031500,2023-04-17T03:15:00,108.02,40.13,214.2
CAMHDA301-20230417T061500,2023-04-17T06:15:00,107.16,40.07,656.7
CAMHDA301-20230417T091500,2023-04-17T09:15:00,106.92,38.67,369.0
CAMHDA301-20230417T121500,2023-04-17T12:15:00,106.61,38.78,149.4
CAMHDA301-20230417T181500,2023-04-17T18:15:00,113.35,35.61,230.8
CAMHDA301-20230417T211500,2023-04-17T21:15:00,107.52,38.04,140.1
CAMHDA301-20230424T001500,2023-04-24T00:15:00,106.15,38.48,668.4
CAMHDA301-20230424T031500,2023-04-24T03:15:00,104.22,37.53,201.3
CAMHDA301-20230424T061500,2023-04-24T06:15:00,106.36,36.67,172.3
CAMHDA301-20230424T091500,2023-04-24T09:15:00,107.23,37.04,322.2
CAMHDA301-20230424T121500,2023-04-24T12:15:00,107.82,32.79,97.7
CAMHDA301-20230424T151500,2023-04-24T15:15:00,106.78,40.24,289.4
CAMHDA301-20230424T181500,2023-04-24T18:15:00,101.91,37.33,174.6
CAMHDA301-20230501T091500,2023-05-01T09:15:00,102.30,34.17,136.7
CAMHDA301-20230501T121500,2023-05-01T12:15:00,102.44,35.50,241.3
CAMHDA301-20230501T151500,2023-05-01T15:15:00,103.56,31.71,98.1
CAMHDA301-20230508T001500,2023-05-08T00:15:00,102.05,33.71,168.6
CAMHDA301-20230508T031500,2023-05-08T03:15:00,101.29,34.78,158.0
CAMHDA301-20230508T061500,2023-05-08T06:15:00,102.86,37.89,159.8
CAMHDA301-20230508T091500,2023-05-08T09:15:00,105.96,37.23,511.9
CAMHDA301-20230508T121500,2023-05-08T12:15:00,100.48,33.54,70.0
CAMHDA301-20230508T151500,2023-05-08T15:15:00,101.96,35.25,129.0
CAMHDA301-20230508T181500,2023-05-08T18:15:00,99.91,36.98,195.7
CAMHDA301-20230508T211500,2023-05-08T21:15:00,101.79,37.69,320.1
CAMHDA301-20230515T001500,2023-05-15T00:15:00,102.36,36.91,497.7
CAMHDA301-20230515T031500,2023-05-15T03:15:00,101.27,35.65,566.1
CAMHDA301-20230515T061500,2023-05-15T06:15:00,102.27,33.91,97.0
CAMHDA301-20230515T091500,2023-05-15T09:15:00,100.34,37.95,184.2
CAMHDA301-20230515T121500,2023-05-15T12:15:00,99.60,37.58,397.5
CAMHDA301-20230515T151500,2023-05-15T15:15:00,98.35,39.19,444.8
CAMHDA301-20230515T181500,2023-05-15T18:15:00,102.67,34.47,88.2
CAMHDA301-20230515T211500,2023-05-15T21:15:00,101.01,37.87,318.0
CAMHDA301-20230522T001500,2023-05-22T00:15:00,101.66,37.68,152.0
CAMHDA301-20230522T031500,2023-05-22T03:15:00,101.08,38.05,152.1
CAMHDA301-20230522T061500,2023-05-22T06:15:00,102.13,38.39,144.1
CAMHDA301-20230522T091500,2023-05-22T09:15:00,102.24,36.36,141.2
CAMHDA301-20230522T121500,2023-05-22T12:15:00,102.43,37.73,282.6
CAMHDA301-20230522T151500,2023-05-22T15:15:00,100.16,36.79,126.4
CAMHDA301-20230522T181500,2023-05-22T18:15:00,100.83,37.43,212.4
CAMHDA301-20230522T211500,2023-05-22T21:15:00,109.39,37.11,168.4
CAMHDA301-20230529T001500,2023-05-29T00:15:00,100.35,36.37,129.3
CAMHDA301-20230529T031500,2023-05-29T03:15:00,101.53,37.13,474.1
CAMHDA301-20230529T061500,2023-05-29T06:15:00,101.53,34.74,139.7
CAMHDA301-20230529T091500,2023-05-29T09:15:00,102.09,35.62,165.8
CAMHDA301-20230529T121500,2023-05-29T12:15:00,101.26,35.98,173.1
CAMHDA301-20230529T151500,2023-05-29T15:15:00,100.28,36.81,161.0
CAMHDA301-20230529T181500,2023-05-29T18:15:00,102.09,35.61,117.5
CAMHDA301-20230529T211500,2023-05-29T21:15:00,101.75,35.07,568.0
CAMHDA301-20230605T001500,2023-06-05T00:15:00,103.25,36.23,193.9
CAMHDA301-20230605T031500,2023-06-05T03:15:00,102.20,37.84,166.9
CAMHDA301-20230605T061500,2023-06-05T06:15:00,103.83,38.99,210.2
CAMHDA301-20230605T091500,2023-06-05T09:15:00,104.90,35.55,104.8
CAMHDA301-20230605T121500,2023-06-05T12:15:00,102.87,39.09,317.9
CAMHDA301-20230605T151500,2023-06-05T15:15:00,103.83,40.94,256.5
CAMHDA301-20230605T181500,2023-06-05T18:15:00,103.13,40.39,428.1
CAMHDA301-20230605T211500,2023-06-05T21:15:00,104.74,39.02,167.2
CAMHDA301-20230612T001500,2023-06-12T00:15:00,105.69,38.55,267.5
CAMHDA301-20230612T031500,2023-06-12T03:15:00,107.61,35.72,357.3
CAMHDA301-20230612T061500,2023-06-12T06:15:00,101.86,37.06,93.6
CAMHDA301-20230612T091500,2023-06-12T09:15:00,98.65,38.55,395.2
CAMHDA301-20230612T121500,2023-06-12T12:15:00,102.28,35.32,116.9
CAMHDA301-20230612T151500,2023-06-12T15:15:00,101.96,37.30,353.7
CAMHDA301-20230612T181500,2023-06-12T18:15:00,102.54,35.53,87.4
CAMHDA301-20230612T211500,2023-06-12T21:15:00,99.88,35.88,174.9
CAMHDA301-20230626T001500,2023-06-26T00:15:00,101.86,37.84,138.2
CAMHDA301-20230626T031500,2023-06-26T03:15:00,102.22,36.47,151.7
CAMHDA301-20230626T061500,2023-06-26T06:15:00,101.16,36.51,116.7
CAMHDA301-20230626T091500,2023-06-26T09:15:00,102.42,35.94,145.3
CAMHDA301-20230626T151500,2023-06-26T15:15:00,101.01,36.48,83.3
CAMHDA301-20230626T181500,2023-06-26T18:15:00,104.31,35.15,97.3
CAMHDA301-20230626T211500,2023-06-26T21:15:00,103.66,36.41,112.6
CAMHDA301-20230710T031500,2023-07-10T03:15:00,102.60,38.43,134.8
CAMHDA301-20230717T001500,2023-07-17T00:15:00,104.00,39.16,224.3
CAMHDA301-20230717T031500,2023-07-17T03:15:00,104.23,40.37,208.2
CAMHDA301-20230717T061500,2023-07-17T06:15:00,113.39,40.36,239.8
CAMHDA301-20230717T091500,2023-07-17T09:15:00,104.24,40.10,178.5
CAMHDA301-20230717T121500,2023-07-17T12:15:00,105.58,36.50,236.7
CAMHDA301-20230717T151500,2023-07-17T15:15:00,103.07,41.49,192.1
CAMHDA301-20230717T181500,2023-07-17T18:15:00,103.74,42.07,204.4
CAMHDA301-20230717T211500,2023-07-17T21:15:00,105.18,39.97,237.1
CAMHDA301-20230731T001500,2023-07-31T00:15:00,105.96,40.40,190.4
CAMHDA301-20230731T031500,2023-07-31T03:15:00,105.55,43.33,243.0
CAMHDA301-20230731T061500,2023-07-31T06:15:00,105.42,40.68,218.5
CAMHDA301-20230731T091500,2023-07-31T09:15:00,104.97,39.03,138.6
CAMHDA301-20230731T121500,2023-07-31T12:15:00,105.13,40.90,222.9
CAMHDA301-20230731T151500,2023-07-31T15:15:00,105.00,42.06,235.6
CAMHDA301-20230731T181500,2023-07-31T18:15:00,106.14,42.50,241.0
CAMHDA301-20230731T211500,2023-07-31T21:15:00,104.83,39.65,162.5
CAMHDA301-20230807T001500,2023-08-07T00:15:00,105.40,39.19,204.9
CAMHDA301-20230807T031500,2023-08-07T03:15:00,105.51,38.63,151.0
CAMHDA301-20230807T061500,2023-08-07T06:15:00,105.99,39.30,258.4
CAMHDA301-20230807T091500,2023-08-07T09:15:00,104.74,41.13,195.6
CAMHDA301-20230807T121500,2023-08-07T12:15:00,105.42,38.12,165.1
CAMHDA301-20230807T151500,2023-08-07T15:15:00,104.98,39.74,234.1
CAMHDA301-20230807T181500,2023-08-07T18:15:00,105.82,37.90,156.8
CAMHDA301-20230807T211500,2023-08-07T21:15:00,104.76,41.21,425.0
CAMHDA301-20230814T001500,2023-08-14T00:15:00,109.58,43.69,256.6
CAMHDA301-20230814T031500,2023-08-14T03:15:00,117.15,37.23,99.9
CAMHDA301-20230814T061500,2023-08-14T06:15:00,108.01,42.16,226.8
CAMHDA301-20230814T091500,2023-08-14T09:15:00,108.38,41.99,180.5
CAMHDA301-20230814T121500,2023-08-14T12:15:00,108.41,41.74,244.1
CAMHDA301-20230814T151500,2023-08-14T15:15:00,108.57,43.39,277.9
CAMHDA301-20230814T181500,2023-08-14T18:15:00,110.02,41.58,202.7
CAMHDA301-20230814T211500,2023-08-14T21:15:00,116.19,39.95,130.0
CAMHDA301-20230821T001500,2023-08-21T00:15:00,107.74,42.06,161.7
CAMHDA301-20230821T031500,2023-08-21T03:15:00,108.73,41.63,202.8
CAMHDA301-20230821T061500,2023-08-21T06:15:00,106.19,42.53,239.0
CAMHDA301-20230821T091500,2023-08-21T09:15:00,108.78,40.07,108.4
CAMHDA301-20230821T121500,2023-08-21T12:15:00,107.37,42.84,213.8
CAMHDA301-20230821T151500,2023-08-21T15:15:00,107.57,36.25,146.6
CAMHDA301-20230821T181500,2023-08-21T18:15:00,107.31,41.62,168.1
CAMHDA301-20230821T211500,2023-08-21T21:15:00,107.21,44.45,261.4
CAMHDA301-20231009T151500,2023-10-09T15:15:00,104.47,42.32,104.4
CAMHDA301-20231016T031500,2023-10-16T03:15:00,110.19,45.28,115.7
CAMHDA301-20231030T151500,2023-10-30T15:15:00,104.76,31.95,132.1
CAMHDA301-20231120T151500,2023-11-20T15:15:00,101.38,32.57,123.1
CAMHDA301-20231218T001500,2023-12-18T00:15:00,110.49,22.10,92.1
CAMHDA301-20231218T031500,2023-12-18T03:15:00,83.77,18.72,84.3
CAMHDA301-20231218T121500,2023-12-18T12:15:00,97.16,19.40,72.6
CAMHDA301-20231218T151500,2023-12-18T15:15:00,83.54,18.77,63.2
CAMHDA301-20231218T181500,2023-12-18T18:15:00,96.24,18.35,65.5
CAMHDA301-20231218T211500,2023-12-18T21:15:00,106.32,21.28,81.9
CAMHDA301-20231225T001500,2023-12-25T00:15:00,106.74,15.31,72.1
CAMHDA301-20231225T031500,2023-12-25T03:15:00,89.08,17.44,51.0
CAMHDA301-20231225T091500,2023-12-25T09:15:00,102.39,16.00,64.4
CAMHDA301-20231225T181500,2023-12-25T18:15:00,104.85,15.34,70.8
CAMHDA301-20240101T211500,2024-01-01T21:15:00,86.12,19.11,83.1
CAMHDA301-20240108T001500,2024-01-08T00:15:00,98.68,24.23,72.6
CAMHDA301-20240108T031500,2024-01-08T03:15:00,79.63,19.98,79.0
CAMHDA301-20240108T061500,2024-01-08T06:15:00,79.21,19.51,76.0
CAMHDA301-20240108T091500,2024-01-08T09:15:00,76.61,18.50,68.2
CAMHDA301-20240108T121500,2024-01-08T12:15:00,77.15,17.30,69.9
CAMHDA301-20240108T151500,2024-01-08T15:15:00,81.13,16.62,71.7
CAMHDA301-20240108T211500,2024-01-08T21:15:00,78.35,18.10,80.8
CAMHDA301-20240115T001500,2024-01-15T00:15:00,113.99,24.54,115.3
CAMHDA301-20240115T031500,2024-01-15T03:15:00,112.66,24.25,124.2
CAMHDA301-20240115T061500,2024-01-15T06:15:00,115.47,25.98,126.1
CAMHDA301-20240115T091500,2024-01-15T09:15:00,116.37,25.73,116.3
CAMHDA301-20240115T151500,2024-01-15T15:15:00,112.76,24.54,118.0
CAMHDA301-20240122T001500,2024-01-22T00:15:00,114.13,19.77,98.4
CAMHDA301-20240122T031500,2024-01-22T03:15:00,112.16,19.68,98.1
CAMHDA301-20240122T061500,2024-01-22T06:15:00,112.19,20.02,94.3
