ym,ts,n_frames,n_black,sharp_median,sharp_p90,sharp_max,brightness,contrast,note,path
2021-W30,20210801T073000,8,0,273.0,451.0,470.2,98.63,51.84,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/01/CAMHDA301-20210801T073000.mp4
2021-W31,20210802T163000,8,0,105.0,121.9,135.3,69.32,42.25,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/02/CAMHDA301-20210802T163000.mp4
2021-W30,20210801T234500,8,0,100.8,130.1,152.3,65.34,39.34,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/01/CAMHDA301-20210801T234500.mp4
2021-W30,20210801T171500,8,0,46.9,53.8,62.0,39.33,12.19,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/01/CAMHDA301-20210801T171500.mp4
2021-W30,20210801T010000,8,0,234.9,397.0,463.4,97.48,51.12,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/01/CAMHDA301-20210801T010000.mp4
2021-W31,20210803T004500,8,0,130.6,222.1,294.2,121.69,35.36,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/03/CAMHDA301-20210803T004500.mp4
2021-W31,20210802T000000,8,0,59.8,104.0,167.8,65.21,39.18,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/02/CAMHDA301-20210802T000000.mp4
2021-W30,20210801T041500,8,0,241.0,311.7,404.8,97.88,52.13,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/01/CAMHDA301-20210801T041500.mp4
2021-W30,20210801T203000,8,0,89.4,111.1,123.4,68.20,41.73,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/01/CAMHDA301-20210801T203000.mp4
2021-W30,20210801T104500,8,0,31.4,40.5,53.5,35.60,9.57,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/01/CAMHDA301-20210801T104500.mp4
2021-W30,20210801T140000,8,0,45.3,57.0,61.1,36.93,12.27,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/01/CAMHDA301-20210801T140000.mp4
2021-W31,20210802T081500,8,0,105.6,136.1,149.5,104.79,31.62,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/02/CAMHDA301-20210802T081500.mp4
2021-W32,20210810T183000,8,0,71.0,97.2,124.2,93.56,10.57,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/10/CAMHDA301-20210810T183000.mp4
2021-W32,20210813T061500,8,0,212.0,311.5,311.7,84.46,37.89,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/13/CAMHDA301-20210813T061500.mp4
2021-W31,20210804T151500,8,0,312.4,459.8,559.5,80.88,37.91,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/04/CAMHDA301-20210804T151500.mp4
2021-W32,20210810T081500,8,0,60.5,99.8,128.6,63.54,27.48,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/10/CAMHDA301-20210810T081500.mp4
2021-W31,20210803T090000,8,0,81.3,105.8,125.6,91.20,17.63,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/03/CAMHDA301-20210803T090000.mp4
2021-W32,20210809T001500,8,0,181.7,370.8,401.1,82.83,35.03,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/09/CAMHDA301-20210809T001500.mp4
2021-W31,20210808T211500,8,0,206.4,326.1,351.7,84.34,35.36,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/08/CAMHDA301-20210808T211500.mp4
2021-W32,20210810T031500,8,0,41.6,66.2,88.8,35.78,7.28,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/10/CAMHDA301-20210810T031500.mp4
2021-W32,20210815T211500,8,0,118.6,212.5,311.5,88.71,37.01,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/15/CAMHDA301-20210815T211500.mp4
2021-W32,20210810T133000,8,0,82.0,104.7,131.2,72.05,30.67,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/10/CAMHDA301-20210810T133000.mp4
2021-W31,20210803T171500,8,0,471.8,547.0,560.1,118.21,38.39,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/03/CAMHDA301-20210803T171500.mp4
2021-W32,20210810T234500,8,0,297.6,321.9,330.4,120.30,36.48,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/10/CAMHDA301-20210810T234500.mp4
2021-W33,20210818T121500,8,0,167.7,244.9,300.6,83.72,34.20,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/18/CAMHDA301-20210818T121500.mp4
2021-W33,20210816T001500,8,0,115.7,239.1,316.2,86.49,35.35,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/16/CAMHDA301-20210816T001500.mp4
2021-W33,20210820T073000,8,0,62.2,105.0,120.5,71.59,27.31,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/20/CAMHDA301-20210820T073000.mp4
2021-W33,20210820T021500,8,0,260.1,280.1,290.7,98.54,51.50,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/20/CAMHDA301-20210820T021500.mp4
2021-W33,20210822T211500,8,0,152.3,219.8,237.3,87.75,35.06,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/22/CAMHDA301-20210822T211500.mp4
2021-W34,20210826T001500,8,0,101.5,233.3,288.8,81.93,36.73,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/26/CAMHDA301-20210826T001500.mp4
2021-W34,20210824T121500,8,0,82.6,154.3,166.9,87.41,32.09,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/24/CAMHDA301-20210824T121500.mp4
2021-W33,20210820T174500,8,0,112.7,151.6,212.8,121.12,28.10,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/20/CAMHDA301-20210820T174500.mp4
2021-W33,20210820T224500,8,0,197.5,326.2,345.3,120.99,32.08,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/20/CAMHDA301-20210820T224500.mp4
2021-W34,20210823T001500,8,0,140.4,238.4,275.2,85.34,36.75,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/23/CAMHDA301-20210823T001500.mp4
2021-W33,20210820T123000,8,0,72.5,80.5,92.9,73.14,30.63,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/20/CAMHDA301-20210820T123000.mp4
2021-W34,20210827T121500,8,0,133.8,191.7,217.7,82.32,36.93,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/27/CAMHDA301-20210827T121500.mp4
2021-W34,20210829T001000,0,8,,,,,,all-black,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/29/CAMHDA301-20210829T001000.mp4
2021-W35,20210830T211500,0,8,,,,,,all-black,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/30/CAMHDA301-20210830T211500.mp4
2021-W35,20210901T161500,2,6,369.7,374.3,375.5,113.02,46.46,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/09/01/CAMHDA301-20210901T161500.mp4
2021-W34,20210829T234500,8,0,494.0,555.5,571.6,114.32,51.88,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/29/CAMHDA301-20210829T234500.mp4
2021-W35,20210830T050000,8,0,406.7,626.5,634.5,117.92,31.72,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/30/CAMHDA301-20210830T050000.mp4
2021-W34,20210829T174500,8,0,364.6,433.8,447.2,113.05,51.06,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/29/CAMHDA301-20210829T174500.mp4
2021-W35,20210830T010000,8,0,473.4,553.4,557.2,114.28,51.56,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/30/CAMHDA301-20210830T010000.mp4
2021-W34,20210829T204500,8,0,462.3,608.5,719.1,112.31,52.08,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/29/CAMHDA301-20210829T204500.mp4
2021-W35,20210830T090000,8,0,466.5,527.5,528.9,113.27,51.20,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/08/30/CAMHDA301-20210830T090000.mp4
2021-W35,20210903T151500,8,0,456.5,490.8,495.1,83.85,52.91,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/09/03/CAMHDA301-20210903T151500.mp4
