wk_start,n,sharp_med,q25,q75,black
2021-07-26,8,95.1,46.5,236.425,0
2021-08-02,8,118.1,99.075,232.9,0
2021-08-09,8,100.3,68.375,189.27499999999998,0
2021-08-16,8,134.0,102.65,175.14999999999998,0
2021-08-23,7,140.4,117.65,413.45000000000005,0
2021-08-30,6,431.6,380.375,464.0,0
2021-09-06,8,293.85,200.4,433.45,0
2021-09-13,8,427.95000000000005,367.275,459.0,0
2021-09-20,8,349.9,136.27499999999998,466.95,0
2021-09-27,8,548.8,548.3,549.125,0
2021-10-04,7,286.9,159.2,483.85,2
2021-10-11,8,343.5,330.125,371.75,2
2021-10-18,8,285.75,129.4,376.40000000000003,0
2021-10-25,8,349.4,325.1,431.95,0
2021-11-01,8,320.6,111.17500000000001,505.75,0
2021-11-08,8,185.6,62.599999999999994,276.375,0
2021-11-15,8,238.7,94.4,431.9,0
2021-11-22,7,438.5,294.45000000000005,496.2,0
2021-11-29,8,422.70000000000005,246.45,517.075,0
2021-12-06,8,270.7,194.07500000000002,481.575,0
2021-12-13,8,439.45000000000005,292.6,571.9,0
2021-12-20,8,355.0,276.9,411.375,0
2021-12-27,8,242.25,88.7,369.1,0
2022-01-03,8,374.5,220.4,506.95,3
2022-01-10,8,253.95,176.8,345.875,0
2022-01-17,8,313.54999999999995,160.22500000000002,404.45000000000005,0
2022-01-24,8,351.2,276.3,366.525,0
2022-01-31,8,202.05,73.2,347.225,0
2022-02-07,8,320.65,121.925,431.70000000000005,0
2022-02-14,8,261.65,139.775,385.275,0
2022-02-21,7,378.7,293.65,410.70000000000005,2
2022-02-28,2,445.5,444.55,446.45,0
2022-03-07,8,321.6,207.25,391.0,0
2022-03-14,8,266.6,190.775,357.0,0
2022-03-21,8,332.65,278.07500000000005,373.475,2
2022-03-28,8,227.14999999999998,180.975,343.425,0
2022-04-04,8,269.25,143.525,473.875,2
2022-04-11,8,332.95,236.525,354.95,2
2022-04-18,8,279.05,99.6,490.55,0
2022-04-25,8,451.5,179.45,502.85,0
2022-05-02,8,227.14999999999998,155.675,358.775,0
2022-05-09,8,263.9,119.77499999999999,380.45000000000005,0
2022-05-16,8,464.5,254.45000000000002,484.875,0
2022-05-23,8,423.5,338.275,501.5,0
2022-05-30,8,290.25,233.27499999999998,552.075,0
2022-06-06,8,347.35,180.05,392.125,0
2022-06-13,6,446.79999999999995,428.45,467.625,0
2022-06-20,8,361.5,158.225,508.65,0
2022-06-27,8,246.45,124.39999999999999,492.0,0
2022-07-04,8,286.6,125.625,389.075,2
2022-07-11,8,427.45,361.65,452.0,2
2022-07-18,8,414.04999999999995,225.95000000000002,521.2,0
2022-07-25,8,470.7,433.7,481.95,0
2022-08-01,8,200.25,155.15,361.34999999999997,0
2022-08-08,8,461.55,199.8,542.9,0
2022-08-15,8,299.1,174.70000000000002,513.375,0
2022-08-22,8,447.1,373.95000000000005,569.025,1
2022-08-29,8,157.8,120.35,448.35,0
2022-09-05,8,313.35,196.15,511.175,0
2022-09-12,8,502.0,442.55,545.45,0
2022-09-19,8,309.85,124.925,455.55,0
2022-09-26,8,196.4,134.7,404.725,0
2022-10-03,8,387.85,279.02500000000003,412.8,0
2022-10-10,8,326.2,219.89999999999998,488.625,0
2022-10-17,8,290.55,115.85,393.65,0
2022-10-24,7,512.8,442.2,564.3,0
2022-10-31,7,199.2,110.05,342.25,0
2022-11-07,8,323.6,108.875,430.65,0
2022-11-14,8,309.1,200.925,549.375,0
2022-11-21,8,414.15,385.725,464.125,2
2022-11-28,2,389.35,376.625,402.075,0
2022-12-05,8,292.4,182.79999999999998,439.45,0
2022-12-12,8,479.29999999999995,437.375,559.675,0
2022-12-19,8,302.85,95.425,468.40000000000003,0
2022-12-26,8,318.95000000000005,194.125,504.725,0
2023-01-02,8,236.55,177.525,537.6,0
2023-01-09,8,303.9,210.05,489.75,0
2023-01-16,8,350.1,231.60000000000002,429.95,0
2023-01-23,8,390.79999999999995,378.2,462.97499999999997,0
2023-01-30,8,350.05,140.17499999999998,451.2,0
2023-02-06,8,371.85,230.9,464.90000000000003,0
2023-02-13,8,470.5,375.0,545.975,0
2023-02-20,8,277.85,153.375,420.25,0
2023-02-27,8,315.4,263.025,457.375,0
2023-03-06,8,337.2,223.375,430.325,0
2023-03-13,8,315.55,293.325,404.125,0
2023-03-20,8,282.8,166.75,434.975,0
2023-03-27,8,186.9,147.525,302.25,0
2023-04-03,8,334.35,157.1,436.75,0
2023-04-10,8,443.4,200.67499999999998,691.525,1
2023-04-17,8,364.9,215.975,532.975,0
2023-04-24,8,754.1,664.75,911.0749999999999,0
2023-05-01,8,278.6,194.22500000000002,506.35,0
2023-05-08,8,510.15,442.575,559.7249999999999,0
2023-05-15,8,434.85,306.775,666.75,0
2023-05-22,8,507.2,448.125,557.1500000000001,0
2023-05-29,8,433.3,253.29999999999998,758.6500000000001,0
2023-06-05,8,407.05,176.125,575.625,0
2023-06-12,7,421.9,383.45,629.25,0
2023-06-19,2,428.35,420.225,436.475,0
2023-06-26,8,210.05,141.8,312.5,1
2023-07-03,8,397.35,254.125,666.375,0
2023-07-10,8,366.35,229.175,524.4,0
2023-07-17,7,274.3,168.14999999999998,443.6,0
2023-07-24,5,376.6,371.7,445.6,0
2023-07-31,8,530.4,454.65,569.575,0
