stem,dt,scene1_time_s,human_count
CAMHDA301-20240205T001500,2024-02-05T00:15:00,420.0,17
CAMHDA301-20240205T031500,2024-02-05T03:15:00,420.0,15
CAMHDA301-20240205T061500,2024-02-05T06:15:00,420.0,9
CAMHDA301-20240205T091500,2024-02-05T09:15:00,420.0,19
CAMHDA301-20240205T121500,2024-02-05T12:15:00,420.0,16
CAMHDA301-20240205T151500,2024-02-05T15:15:00,420.0,11
CAMHDA301-20240205T181500,2024-02-05T18:15:00,420.0,12
CAMHDA301-20240205T211500,2024-02-05T21:15:00,420.0,5
CAMHDA301-20240212T001500,2024-02-12T00:15:00,420.0,4
CAMHDA301-20240212T031500,2024-02-12T03:15:00,450.0,11
CAMHDA301-20240212T061500,2024-02-12T06:15:00,420.0,7
CAMHDA301-20240212T091500,2024-02-12T09:15:00,420.0,8
CAMHDA301-20240212T121500,2024-02-12T12:15:00,420.0,7
CAMHDA301-20240212T151500,2024-02-12T15:15:00,420.0,12
CAMHDA301-20240212T181500,2024-02-12T18:15:00,420.0,6
CAMHDA301-20240212T211500,2024-02-12T21:15:00,420.0,10
CAMHDA301-20240219T001500,2024-02-19T00:15:00,420.0,9
CAMHDA301-20240219T031500,2024-02-19T03:15:00,450.0,4
CAMHDA301-20240219T061500,2024-02-19T06:15:00,420.0,5
CAMHDA301-20240219T121500,2024-02-19T12:15:00,420.0,13
CAMHDA301-20240219T151500,2024-02-19T15:15:00,420.0,5
CAMHDA301-20240219T181500,2024-02-19T18:15:00,420.0,8
CAMHDA301-20240219T211500,2024-02-19T21:15:00,420.0,11
CAMHDA301-20240226T001500,2024-02-26T00:15:00,420.0,12
CAMHDA301-20240226T031500,2024-02-26T03:15:00,420.0,15
CAMHDA301-20240226T061500,2024-02-26T06:15:00,420.0,12
CAMHDA301-20240226T091500,2024-02-26T09:15:00,450.0,10
CAMHDA301-20240226T121500,2024-02-26T12:15:00,420.0,8
CAMHDA301-20240226T151500,2024-02-26T15:15:00,450.0,8
CAMHDA301-20240226T181500,2024-02-26T18:15:00,450.0,7
CAMHDA301-20240226T211500,2024-02-26T21:15:00,420.0,6
