frame_id,date,ai_count,worm_count
CAMHDA301-20211221T001500,2021-12-21,13,13
CAMHDA301-20211221T031500,2021-12-21,8,8
CAMHDA301-20211221T061500,2021-12-21,8,8
CAMHDA301-20211221T091500,2021-12-21,12,13
CAMHDA301-20211221T151500,2021-12-21,6,6
CAMHDA301-20211221T181500,2021-12-21,10,9
CAMHDA301-20220308T001500,2022-03-08,7,8
CAMHDA301-20220308T031500,2022-03-08,7,8
CAMHDA301-20220308T091500,2022-03-08,4,6
CAMHDA301-20220308T121500,2022-03-08,8,11
CAMHDA301-20220308T151500,2022-03-08,4,6
CAMHDA301-20220308T181500,2022-03-08,6,9
CAMHDA301-20220308T211500,2022-03-08,2,6
CAMHDA301-20220426T001500,2022-04-26,12,12
CAMHDA301-20220426T091500,2022-04-26,15,17
CAMHDA301-20220426T121500,2022-04-26,14,17
CAMHDA301-20220426T211500,2022-04-26,13,20
CAMHDA301-20220510T031500,2022-05-10,9,14
CAMHDA301-20220517T031500,2022-05-17,13,21
CAMHDA301-20220517T061500,2022-05-17,7,11
CAMHDA301-20220517T091500,2022-05-17,11,16
CAMHDA301-20220517T121500,2022-05-17,20,27
CAMHDA301-20220517T151500,2022-05-17,21,27
CAMHDA301-20220517T181500,2022-05-17,14,23
CAMHDA301-20220517T211500,2022-05-17,12,27
CAMHDA301-20220524T001500,2022-05-24,10,21
CAMHDA301-20220524T031500,2022-05-24,4,4
CAMHDA301-20220524T091500,2022-05-24,11,20
CAMHDA301-20220524T121500,2022-05-24,7,24
CAMHDA301-20220524T181500,2022-05-24,11,19
CAMHDA301-20220524T211500,2022-05-24,7,8
CAMHDA301-20220531T001500,2022-05-31,10,13
CAMHDA301-20220531T031500,2022-05-31,9,18
CAMHDA301-20220531T061500,2022-05-31,8,21
CAMHDA301-20220531T121500,2022-05-31,13,21
CAMHDA301-20220531T151500,2022-05-31,11,24
CAMHDA301-20220531T211500,2022-05-31,7,15
CAMHDA301-20220607T001500,2022-06-07,15,25
CAMHDA301-20220607T121500,2022-06-07,4,23
CAMHDA301-20220607T181500,2022-06-07,14,36
CAMHDA301-20220628T001500,2022-06-28,13,34
CAMHDA301-20220628T031500,2022-06-28,11,35
CAMHDA301-20220628T121500,2022-06-28,12,35
CAMHDA301-20220628T151500,2022-06-28,8,31
CAMHDA301-20220628T181500,2022-06-28,12,35
CAMHDA301-20220628T211500,2022-06-28,15,35
CAMHDA301-20220705T031500,2022-07-05,5,32
CAMHDA301-20220705T061500,2022-07-05,7,23
CAMHDA301-20220705T091500,2022-07-05,5,30
CAMHDA301-20220705T121500,2022-07-05,8,20
CAMHDA301-20220705T151500,2022-07-05,13,23
CAMHDA301-20220705T181500,2022-07-05,12,23
CAMHDA301-20220705T211500,2022-07-05,9,24
CAMHDA301-20220712T001500,2022-07-12,8,22
CAMHDA301-20220712T031500,2022-07-12,11,25
CAMHDA301-20220712T061500,2022-07-12,6,20
CAMHDA301-20220712T091500,2022-07-12,9,16
CAMHDA301-20220712T151500,2022-07-12,11,36
CAMHDA301-20220712T181500,2022-07-12,8,36
CAMHDA301-20220719T001500,2022-07-19,5,21
CAMHDA301-20220719T031500,2022-07-19,5,23
CAMHDA301-20220719T061500,2022-07-19,10,34
CAMHDA301-20220719T121500,2022-07-19,8,40
CAMHDA301-20220719T211500,2022-07-19,4,31
CAMHDA301-20220726T001500,2022-07-26,6,35
CAMHDA301-20220726T061500,2022-07-26,1,25
CAMHDA301-20220726T121500,2022-07-26,9,42
CAMHDA301-20220726T151500,2022-07-26,8,43
CAMHDA301-20220726T181500,2022-07-26,6,27
CAMHDA301-20220726T211500,2022-07-26,6,31
CAMHDA301-20220809T001500,2022-08-09,8,40
CAMHDA301-20220809T031500,2022-08-09,4,37
CAMHDA301-20220809T121500,2022-08-09,13,37
CAMHDA301-20220809T151500,2022-08-09,10,44
CAMHDA301-20220809T211500,2022-08-09,13,47
CAMHDA301-20220816T001500,2022-08-16,10,46
CAMHDA301-20220816T031500,2022-08-16,13,43
CAMHDA301-20220816T061500,2022-08-16,11,40
CAMHDA301-20220816T091500,2022-08-16,7,39
CAMHDA301-20220816T121500,2022-08-16,7,33
CAMHDA301-20220816T151500,2022-08-16,12,41
CAMHDA301-20220816T181500,2022-08-16,8,40
CAMHDA301-20220816T211500,2022-08-16,8,44
CAMHDA301-20220823T001500,2022-08-23,7,48
CAMHDA301-20220823T121500,2022-08-23,10,46
CAMHDA301-20220823T151500,2022-08-23,15,51
CAMHDA301-20220830T001500,2022-08-30,9,42
CAMHDA301-20220906T001500,2022-09-06,8,39
CAMHDA301-20220906T031500,2022-09-06,6,55
CAMHDA301-20220906T091500,2022-09-06,16,37
CAMHDA301-20220906T121500,2022-09-06,11,49
CAMHDA301-20220906T151500,2022-09-06,15,49
CAMHDA301-20220906T181500,2022-09-06,11,37
CAMHDA301-20220906T211500,2022-09-06,8,35
CAMHDA301-20220913T031500,2022-09-13,14,50
CAMHDA301-20220913T091500,2022-09-13,4,36
CAMHDA301-20220913T181500,2022-09-13,11,44
CAMHDA301-20220913T211500,2022-09-13,5,41
CAMHDA301-20220920T031500,2022-09-20,1,25
CAMHDA301-20220927T031500,2022-09-27,17,51
CAMHDA301-20220927T061500,2022-09-27,10,33
CAMHDA301-20220927T091500,2022-09-27,11,49
CAMHDA301-20220927T121500,2022-09-27,9,54
CAMHDA301-20220927T151500,2022-09-27,18,53
CAMHDA301-20220927T211500,2022-09-27,8,47
CAMHDA301-20221018T061500,2022-10-18,7,41
CAMHDA301-20221018T091500,2022-10-18,18,41
CAMHDA301-20221018T121500,2022-10-18,12,45
CAMHDA301-20221018T151500,2022-10-18,20,64
CAMHDA301-20221018T211500,2022-10-18,17,54
CAMHDA301-20221025T001500,2022-10-25,13,64
CAMHDA301-20221025T031500,2022-10-25,16,40
CAMHDA301-20221025T091500,2022-10-25,15,48
CAMHDA301-20221025T121500,2022-10-25,17,50
CAMHDA301-20221025T151500,2022-10-25,20,49
CAMHDA301-20221025T181500,2022-10-25,11,49
CAMHDA301-20221025T211500,2022-10-25,17,48
CAMHDA301-20221101T091500,2022-11-01,15,46
CAMHDA301-20221101T151500,2022-11-01,19,69
CAMHDA301-20221108T001500,2022-11-08,14,51
CAMHDA301-20221108T031500,2022-11-08,14,59
CAMHDA301-20221108T121500,2022-11-08,19,39
CAMHDA301-20221108T181500,2022-11-08,13,47
CAMHDA301-20221108T211500,2022-11-08,8,48
CAMHDA301-20221115T061500,2022-11-15,19,58
CAMHDA301-20221115T181500,2022-11-15,17,65
CAMHDA301-20221115T211500,2022-11-15,9,47
CAMHDA301-20221122T001500,2022-11-22,16,49
CAMHDA301-20221122T031500,2022-11-22,14,38
CAMHDA301-20221122T091500,2022-11-22,21,61
CAMHDA301-20221122T151500,2022-11-22,7,47
CAMHDA301-20221129T001500,2022-11-29,10,40
CAMHDA301-20221129T031500,2022-11-29,21,36
CAMHDA301-20221129T061500,2022-11-29,21,39
CAMHDA301-20221129T091500,2022-11-29,24,44
CAMHDA301-20221129T121500,2022-11-29,17,43
CAMHDA301-20221206T001500,2022-12-06,19,54
CAMHDA301-20221206T031500,2022-12-06,20,38
CAMHDA301-20221206T091500,2022-12-06,15,38
CAMHDA301-20221206T121500,2022-12-06,19,37
CAMHDA301-20221206T181500,2022-12-06,4,20
CAMHDA301-20221206T211500,2022-12-06,14,43
CAMHDA301-20221213T001500,2022-12-13,17,52
CAMHDA301-20221213T031500,2022-12-13,21,42
CAMHDA301-20221213T151500,2022-12-13,23,42
CAMHDA301-20221213T181500,2022-12-13,16,57
CAMHDA301-20221220T031500,2022-12-20,6,28
CAMHDA301-20221227T031500,2022-12-27,23,46
CAMHDA301-20221227T061500,2022-12-27,28,46
CAMHDA301-20221227T091500,2022-12-27,21,41
CAMHDA301-20221227T121500,2022-12-27,20,35
CAMHDA301-20230110T031500,2023-01-10,21,62
CAMHDA301-20230117T091500,2023-01-17,13,28
CAMHDA301-20230117T121500,2023-01-17,14,28
CAMHDA301-20230117T151500,2023-01-17,10,30
CAMHDA301-20230117T181500,2023-01-17,8,23
CAMHDA301-20230124T031500,2023-01-24,13,22
CAMHDA301-20230124T061500,2023-01-24,20,37
CAMHDA301-20230124T151500,2023-01-24,19,32
CAMHDA301-20230124T181500,2023-01-24,5,14
CAMHDA301-20230124T211500,2023-01-24,8,23
CAMHDA301-20230131T001500,2023-01-31,17,31
CAMHDA301-20230131T031500,2023-01-31,14,24
CAMHDA301-20230131T091500,2023-01-31,20,29
CAMHDA301-20230131T121500,2023-01-31,12,29
CAMHDA301-20230131T151500,2023-01-31,11,23
CAMHDA301-20230131T181500,2023-01-31,8,20
CAMHDA301-20230207T001500,2023-02-07,15,30
CAMHDA301-20230207T031500,2023-02-07,20,33
CAMHDA301-20230207T061500,2023-02-07,15,32
CAMHDA301-20230207T091500,2023-02-07,18,28
CAMHDA301-20230207T121500,2023-02-07,15,27
CAMHDA301-20230207T151500,2023-02-07,24,33
CAMHDA301-20230207T211500,2023-02-07,12,25
CAMHDA301-20230214T001500,2023-02-14,10,19
CAMHDA301-20230214T031500,2023-02-14,15,32
CAMHDA301-20230214T061500,2023-02-14,13,26
CAMHDA301-20230214T121500,2023-02-14,7,22
CAMHDA301-20230214T151500,2023-02-14,2,13
CAMHDA301-20230214T181500,2023-02-14,8,23
CAMHDA301-20230214T211500,2023-02-14,15,24
CAMHDA301-20230221T001500,2023-02-21,9,17
CAMHDA301-20230221T031500,2023-02-21,19,35
CAMHDA301-20230221T061500,2023-02-21,24,27
CAMHDA301-20230221T091500,2023-02-21,14,25
CAMHDA301-20230221T121500,2023-02-21,16,26
CAMHDA301-20230221T151500,2023-02-21,23,34
CAMHDA301-20230221T211500,2023-02-21,10,18
CAMHDA301-20230307T031500,2023-03-07,18,39
CAMHDA301-20230307T061500,2023-03-07,12,27
CAMHDA301-20230307T121500,2023-03-07,18,32
CAMHDA301-20230307T151500,2023-03-07,17,34
CAMHDA301-20230314T031500,2023-03-14,16,30
CAMHDA301-20230314T061500,2023-03-14,16,30
CAMHDA301-20230314T151500,2023-03-14,11,24
CAMHDA301-20230314T211500,2023-03-14,10,23
CAMHDA301-20230321T001500,2023-03-21,15,31
CAMHDA301-20230321T061500,2023-03-21,13,31
CAMHDA301-20230321T091500,2023-03-21,6,21
CAMHDA301-20230321T181500,2023-03-21,7,30
CAMHDA301-20230328T031500,2023-03-28,7,25
CAMHDA301-20230328T091500,2023-03-28,4,18
CAMHDA301-20230328T121500,2023-03-28,6,25
CAMHDA301-20230328T211500,2023-03-28,3,12
CAMHDA301-20230411T001500,2023-04-11,11,18
CAMHDA301-20230411T031500,2023-04-11,16,32
CAMHDA301-20230411T091500,2023-04-11,4,14
CAMHDA301-20230411T121500,2023-04-11,19,26
CAMHDA301-20230411T151500,2023-04-11,16,28
CAMHDA301-20230411T181500,2023-04-11,18,30
CAMHDA301-20230411T211500,2023-04-11,15,30
CAMHDA301-20230418T001500,2023-04-18,19,32
CAMHDA301-20230418T031500,2023-04-18,11,31
CAMHDA301-20230418T061500,2023-04-18,14,26
CAMHDA301-20230418T091500,2023-04-18,8,20
CAMHDA301-20230418T121500,2023-04-18,20,32
CAMHDA301-20230418T181500,2023-04-18,6,17
CAMHDA301-20230502T061500,2023-05-02,12,20
CAMHDA301-20230606T061500,2023-06-06,3,19
CAMHDA301-20230606T121500,2023-06-06,2,29
CAMHDA301-20230606T181500,2023-06-06,11,33
CAMHDA301-20230718T061500,2023-07-18,4,20
CAMHDA301-20230718T091500,2023-07-18,10,23
CAMHDA301-20230718T121500,2023-07-18,16,22
CAMHDA301-20230808T001500,2023-08-08,10,21
CAMHDA301-20230808T031500,2023-08-08,6,14
CAMHDA301-20230808T061500,2023-08-08,13,27
CAMHDA301-20230808T091500,2023-08-08,20,33
CAMHDA301-20230808T181500,2023-08-08,20,25
