date,n_slots,mean_worms,sem_worms,ci_lo,ci_hi,total_worms,source
2021-09-14,3,28.587,,16.202,42.499,,ai_corrected
2021-09-21,5,28.661,,18.913,39.59,,ai_corrected
2021-09-28,6,26.363,,17.192,36.255,,ai_corrected
2021-10-05,3,27.104,,14.832,41.297,,ai_corrected
2021-10-12,5,28.661,,18.878,39.563,,ai_corrected
2021-10-19,2,29.329,,14.8,46.724,,ai_corrected
2021-10-26,8,27.382,,19.24,36.05,,ai_corrected
2021-11-09,6,28.402,,19.206,38.355,,ai_corrected
2021-11-16,6,26.548,,17.313,36.498,,ai_corrected
2021-11-23,4,27.938,,17.055,40.095,,ai_corrected
2021-11-30,1,28.216,,9.247,53.485,,ai_corrected
2021-12-07,4,30.719,,19.892,42.725,,ai_corrected
2021-12-14,7,29.011,,20.622,38.298,,ai_corrected
2021-12-28,6,29.329,,20.206,39.139,,ai_corrected
2022-01-04,7,29.487,,20.886,38.707,,ai_corrected
2022-01-11,4,32.665,,21.762,44.748,,ai_corrected
2022-01-18,3,28.216,,16.16,42.303,,ai_corrected
2022-01-25,3,25.992,,13.759,40.109,,ai_corrected
2022-02-08,7,25.833,,17.269,35.187,,ai_corrected
2022-02-15,6,25.066,,15.791,35.328,,ai_corrected
2022-02-22,6,26.734,,17.633,36.656,,ai_corrected
2022-03-15,4,25.158,,14.203,37.366,,ai_corrected
2022-03-22,7,27.263,,18.658,36.499,,ai_corrected
2022-03-29,4,28.772,,17.737,40.896,,ai_corrected
2022-04-05,7,27.899,,19.363,37.063,,ai_corrected
2022-04-12,5,25.547,,15.603,36.635,,ai_corrected
2022-04-19,4,27.66,,16.899,40.308,,ai_corrected
2022-06-14,6,27.29,,18.111,37.31,,ai_corrected
2022-06-21,6,32.479,,23.254,42.283,,ai_corrected
2022-10-04,7,32.188,,23.651,41.477,,ai_corrected
2022-10-11,7,31.235,,23.053,40.479,,ai_corrected
2023-02-28,8,30.441,,22.535,39.15,,ai_corrected
2023-04-04,7,32.029,,23.666,41.163,,ai_corrected
2023-04-25,6,29.143,,20.14,39.16,,ai_corrected
2023-05-09,6,29.885,,20.682,39.686,,ai_corrected
2023-05-16,6,29.699,,20.594,39.762,,ai_corrected
2023-05-23,7,26.628,,18.136,36.076,,ai_corrected
2023-05-30,6,28.031,,18.944,37.766,,ai_corrected
2023-06-13,6,30.07,,21.025,39.896,,ai_corrected
2023-06-27,6,31.182,,22.108,41.231,,ai_corrected
2023-07-04,8,27.243,,19.379,36.074,,ai_corrected
2023-07-11,6,28.216,,19.07,38.379,,ai_corrected
2023-08-01,3,30.441,,18.259,44.687,,ai_corrected
