date,n_slots,mean_worms,sem_worms,ci_lo,ci_hi,total_worms,source
2021-09-14,3,28.587,,16.202,42.499,,ai_corrected
2021-09-21,5,28.661,,18.913,39.59,,ai_corrected
2021-09-28,6,26.363,,17.192,36.255,,ai_corrected
2021-10-05,3,27.104,,14.832,41.297,,ai_corrected
2021-10-12,5,28.661,,18.878,39.563,,ai_corrected
2021-10-19,2,29.329,,14.8,46.724,,ai_corrected
2021-10-26,8,27.382,,19.24,36.05,,ai_corrected
2021-11-09,6,28.402,,19.206,38.355,,ai_corrected
2021-11-16,6,26.548,,17.313,36.498,,ai_corrected
2021-11-23,4,27.938,,17.055,40.095,,ai_corrected
2021-11-30,1,28.216,,9.247,53.485,,ai_corrected
2021-12-07,4,30.719,,19.892,42.725,,ai_corrected
2021-12-14,7,29.011,,20.622,38.298,,ai_corrected
2021-12-21,6,9.5,1.176,7.5,11.5,57,manual
2021-12-28,6,29.329,,20.206,39.139,,ai_corrected
2022-01-04,7,29.487,,20.886,38.707,,ai_corrected
2022-01-11,4,32.665,,21.762,44.748,,ai_corrected
2022-01-18,3,28.216,,16.16,42.303,,ai_corrected
2022-01-25,3,25.992,,13.759,40.109,,ai_corrected
2022-02-08,7,25.833,,17.269,35.187,,ai_corrected
2022-02-15,6,25.066,,15.791,35.328,,ai_corrected
2022-02-22,6,26.734,,17.633,36.656,,ai_corrected
2022-03-08,7,7.714,0.714,6.571,9.0,54,manual
2022-03-15,4,25.158,,14.203,37.366,,ai_corrected
2022-03-22,7,27.263,,18.658,36.499,,ai_corrected
2022-03-29,4,28.772,,17.737,40.896,,ai_corrected
2022-04-05,7,27.899,,19.363,37.063,,ai_corrected
2022-04-12,5,25.547,,15.603,36.635,,ai_corrected
2022-04-19,4,27.66,,16.899,40.308,,ai_corrected
2022-04-26,4,16.5,1.658,13.25,19.25,66,manual
2022-05-10,1,14.0,,,,14,manual
2022-05-17,7,21.714,2.358,17.143,25.571,152,manual
2022-05-24,6,16.0,3.276,10.0,21.5,96,manual
2022-05-31,6,18.667,1.687,15.5,21.5,112,manual
2022-06-07,3,28.0,4.041,23.0,36.0,84,manual
2022-06-14,6,27.29,,18.111,37.31,,ai_corrected
2022-06-21,6,32.479,,23.254,42.283,,ai_corrected
2022-06-28,6,34.167,0.654,32.833,35.0,205,manual
2022-07-05,7,25.0,1.633,22.286,28.143,175,manual
2022-07-12,6,25.833,3.429,19.833,31.833,155,manual
2022-07-19,5,29.8,3.513,23.8,36.2,149,manual
2022-07-26,6,33.833,3.081,28.667,39.333,203,manual
2022-08-09,5,41.0,1.975,37.6,44.4,205,manual
2022-08-16,8,40.75,1.386,38.0,43.125,326,manual
2022-08-23,3,48.333,1.453,46.0,51.0,145,manual
2022-08-30,1,42.0,,,,42,manual
2022-09-06,7,43.0,2.96,38.143,48.714,301,manual
2022-09-13,4,42.75,2.926,38.0,47.75,171,manual
2022-09-20,1,25.0,,,,25,manual
2022-09-27,6,47.833,3.146,41.5,52.333,287,manual
2022-10-04,7,32.188,,23.651,41.477,,ai_corrected
2022-10-11,7,31.235,,23.053,40.479,,ai_corrected
2022-10-18,5,49.0,4.438,41.8,57.4,245,manual
2022-10-25,7,49.714,2.697,45.286,55.286,348,manual
2022-11-01,2,57.5,11.5,46.0,69.0,115,manual
2022-11-08,5,48.8,3.231,43.195,54.6,244,manual
2022-11-15,3,56.667,5.239,47.0,65.0,170,manual
2022-11-22,4,48.75,4.732,40.75,57.5,195,manual
2022-11-29,5,40.4,1.435,38.0,42.8,202,manual
2022-12-06,6,38.333,4.492,29.667,45.833,230,manual
2022-12-13,4,48.25,3.75,42.0,54.5,193,manual
2022-12-20,1,28.0,,,,28,manual
2022-12-27,4,42.0,2.614,37.75,46.0,168,manual
2023-01-10,1,62.0,,,,62,manual
2023-01-17,4,27.25,1.493,24.25,29.5,109,manual
2023-01-24,5,25.6,4.032,19.0,33.0,128,manual
2023-01-31,6,26.0,1.751,22.833,29.0,156,manual
2023-02-07,7,29.714,1.19,27.571,31.857,208,manual
2023-02-14,7,22.714,2.222,18.714,26.714,159,manual
2023-02-21,7,26.0,2.637,21.143,30.857,182,manual
2023-02-28,8,30.441,,22.535,39.15,,ai_corrected
2023-03-07,4,33.0,2.483,28.75,37.25,132,manual
2023-03-14,4,26.75,1.887,23.5,30.0,107,manual
2023-03-21,4,28.25,2.428,23.5,31.0,113,manual
2023-03-28,4,20.0,3.136,15.0,25.0,80,manual
2023-04-04,7,32.029,,23.666,41.163,,ai_corrected
2023-04-11,7,25.429,2.571,20.571,29.714,178,manual
2023-04-18,6,26.333,2.667,21.5,30.833,158,manual
2023-04-25,6,29.143,,20.14,39.16,,ai_corrected
2023-05-02,1,20.0,,,,20,manual
2023-05-09,6,29.885,,20.682,39.686,,ai_corrected
2023-05-16,6,29.699,,20.594,39.762,,ai_corrected
2023-05-23,7,26.628,,18.136,36.076,,ai_corrected
2023-05-30,6,28.031,,18.944,37.766,,ai_corrected
2023-06-06,3,27.0,4.163,19.0,33.0,81,manual
2023-06-13,6,30.07,,21.025,39.896,,ai_corrected
2023-06-27,6,31.182,,22.108,41.231,,ai_corrected
2023-07-04,8,27.243,,19.379,36.074,,ai_corrected
2023-07-11,6,28.216,,19.07,38.379,,ai_corrected
2023-07-18,3,21.667,0.882,20.0,23.0,65,manual
2023-08-01,3,30.441,,18.259,44.687,,ai_corrected
2023-08-08,5,24.0,3.162,18.2,29.4,120,manual
