date,n_slots,mean_ai,sem_ai
2021-09-06,2,10.0,1.0
2021-09-13,3,10.6667,1.2019
2021-09-20,1,10.0,
2021-09-27,6,9.0,1.5275
2021-10-04,3,10.0,2.6458
2021-10-11,3,9.6667,2.3333
2021-10-18,3,10.0,1.5275
2021-10-25,7,8.7143,1.2289
2021-11-08,6,9.5,0.9916
2021-11-15,4,9.75,0.75
2021-11-22,4,9.25,1.75
2021-11-29,3,9.3333,1.453
2021-12-06,8,8.75,0.9774
2021-12-13,7,8.4286,1.0659
2021-12-20,1,13.0,
2021-12-27,6,9.1667,0.9458
2022-01-10,1,6.0,
2022-01-17,4,9.0,2.3452
2022-01-31,4,6.25,0.8539
2022-02-07,6,5.3333,0.7601
2022-02-14,7,5.1429,1.0102
2022-02-21,3,6.3333,0.6667
2022-02-28,5,5.4,0.6
2022-03-07,5,7.6,1.0296
2022-03-14,5,4.8,0.6633
2022-03-21,7,7.8571,0.4592
2022-03-28,6,7.5,0.5627
2022-04-04,7,7.1429,0.7377
2022-04-11,7,7.0,0.8452
2022-04-18,5,8.2,1.0677
2022-04-25,8,10.875,0.9149
2022-05-09,7,12.0,0.8729
2022-05-16,6,12.6667,0.8028
2022-05-23,7,10.8571,0.7997
2022-05-30,8,10.375,1.2092
2022-06-06,6,9.5,1.7078
2022-06-13,8,6.75,1.1764
2022-06-20,1,2.0,
2022-06-27,8,7.375,1.2383
2022-07-04,6,8.8333,1.2758
2022-07-11,8,7.0,1.1952
2022-07-18,7,5.5714,0.9966
2022-07-25,8,7.875,1.5748
2022-08-01,2,5.0,0.0
2022-08-08,8,6.125,0.9149
2022-08-15,8,7.625,0.9989
2022-08-22,6,9.1667,1.2494
2022-08-29,7,11.5714,1.5562
2022-09-05,8,12.75,1.0308
2022-09-12,7,12.1429,1.6099
2022-09-19,5,8.8,0.5831
2022-09-26,7,11.1429,1.9812
2022-10-10,1,5.0,
2022-10-17,7,13.2857,1.8988
2022-10-24,7,14.7143,1.5386
2022-10-31,1,8.0,
2022-11-07,8,13.0,1.0177
2022-11-14,7,15.7143,2.0203
2022-11-21,7,14.5714,1.6014
2022-11-28,7,14.7143,2.5044
2022-12-05,7,15.5714,1.9863
2022-12-12,7,11.0,1.069
2022-12-19,3,10.6667,2.7285
2022-12-26,8,19.375,1.5346
2023-01-02,1,0.0,
2023-01-09,8,20.375,1.625
2023-01-16,7,16.4286,2.2345
2023-01-23,8,17.5,1.9911
2023-01-30,7,17.2857,1.9483
2023-02-06,8,19.125,2.5244
2023-02-13,8,13.5,1.4392
2023-02-20,1,13.0,
2023-02-27,7,11.7143,2.3065
2023-03-06,8,13.625,1.322
2023-03-13,7,15.7143,2.3876
2023-03-20,1,17.0,
2023-03-27,6,13.0,3.266
2023-04-10,1,29.0,
2023-04-17,7,11.5714,1.1722
2023-04-24,7,10.7143,1.1693
2023-05-01,3,14.3333,0.3333
2023-05-08,8,10.5,1.6366
2023-05-15,8,10.125,1.8655
2023-05-22,8,7.0,1.1339
2023-05-29,8,9.375,1.5577
2023-06-05,8,12.375,1.5111
2023-06-12,8,10.125,0.9149
2023-06-26,7,8.7143,1.2671
2023-07-10,1,5.0,
2023-07-17,8,11.5,1.8992
2023-07-31,8,10.125,1.9497
2023-08-07,8,11.875,1.1563
2023-08-14,8,9.625,1.5111
2023-08-21,8,10.125,1.663
2023-10-09,1,4.0,
2023-10-16,1,3.0,
2023-10-30,1,3.0,
2023-11-20,1,5.0,
2023-12-18,6,2.5,0.8466
2023-12-25,4,2.25,1.0308
2024-01-01,1,2.0,
2024-01-08,7,2.2857,0.5216
2024-01-15,5,7.4,0.9274
2024-01-22,7,3.2857,0.9932
2024-01-29,5,4.2,1.3565
2024-02-05,8,2.75,0.559
2024-02-12,8,2.25,0.4532
2024-02-19,7,4.4286,0.9966
2024-02-26,8,3.0,0.6268
2024-03-04,4,3.5,1.3229
2024-03-11,1,0.0,
2024-03-18,5,4.4,1.1225
2024-03-25,8,3.375,0.4978
2024-04-08,8,1.625,0.6529
2024-04-22,6,2.8333,0.7923
2024-04-29,6,2.6667,0.7601
2024-05-06,4,1.25,0.9465
2024-05-13,6,2.8333,0.654
2024-05-20,1,3.0,
2024-05-27,4,3.75,0.8539
2024-06-17,6,1.6667,0.4216
2024-06-24,7,1.8571,0.2608
2024-07-08,7,1.1429,0.3401
2024-07-15,7,4.8571,1.2989
2024-07-22,6,5.1667,1.5147
2024-07-29,8,5.125,0.8952
2024-08-05,7,5.2857,1.0848
2024-08-12,1,10.0,
2024-12-09,1,7.0,
2024-12-16,1,4.0,
2024-12-23,2,5.0,0.0
