date,n_slots,mean_corrected,sem_corrected
2019-01-07,5,37.1059,4.4482
2019-01-14,5,17.8823,7.1739
2019-01-21,6,25.7059,3.6843
2019-01-28,6,18.6275,4.9199
2019-02-04,8,26.8235,3.1612
2019-02-11,7,27.7815,3.3032
2019-02-18,4,26.8235,4.8288
2019-02-25,8,15.0882,3.9796
2019-03-04,5,21.0118,2.7009
2019-03-11,5,23.247,2.5091
2019-03-18,8,19.5588,4.5251
2019-03-25,4,21.7941,6.2144
2019-04-29,7,28.7395,3.7918
2019-05-06,6,28.3137,3.0901
2019-05-13,3,23.098,9.1559
2019-05-27,7,20.437,6.1007
2019-06-10,1,44.7059,
2019-07-01,1,0.0,
2019-07-08,2,12.2941,12.2941
2019-07-15,4,28.5,3.3374
