stem,utc_datetime,weekday,slot,video_exists,sheet_path
CAMHDA301-20190107T001500,2019-01-07T00:15:00+00:00,Monday,001500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190107T001500.png
CAMHDA301-20190107T031500,2019-01-07T03:15:00+00:00,Monday,031500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190107T031500.png
CAMHDA301-20190107T061500,2019-01-07T06:15:00+00:00,Monday,061500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190107T061500.png
CAMHDA301-20190107T091500,2019-01-07T09:15:00+00:00,Monday,091500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190107T091500.png
CAMHDA301-20190107T121500,2019-01-07T12:15:00+00:00,Monday,121500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190107T121500.png
CAMHDA301-20190107T151500,2019-01-07T15:15:00+00:00,Monday,151500,False,
CAMHDA301-20190107T181500,2019-01-07T18:15:00+00:00,Monday,181500,False,
CAMHDA301-20190107T211500,2019-01-07T21:15:00+00:00,Monday,211500,False,
CAMHDA301-20190114T001500,2019-01-14T00:15:00+00:00,Monday,001500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190114T001500.png
CAMHDA301-20190114T031500,2019-01-14T03:15:00+00:00,Monday,031500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190114T031500.png
CAMHDA301-20190114T061500,2019-01-14T06:15:00+00:00,Monday,061500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190114T061500.png
CAMHDA301-20190114T091500,2019-01-14T09:15:00+00:00,Monday,091500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190114T091500.png
CAMHDA301-20190114T121500,2019-01-14T12:15:00+00:00,Monday,121500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190114T121500.png
CAMHDA301-20190114T151500,2019-01-14T15:15:00+00:00,Monday,151500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190114T151500.png
CAMHDA301-20190114T181500,2019-01-14T18:15:00+00:00,Monday,181500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190114T181500.png
CAMHDA301-20190114T211500,2019-01-14T21:15:00+00:00,Monday,211500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190114T211500.png
CAMHDA301-20190121T001500,2019-01-21T00:15:00+00:00,Monday,001500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190121T001500.png
CAMHDA301-20190121T031500,2019-01-21T03:15:00+00:00,Monday,031500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190121T031500.png
CAMHDA301-20190121T061500,2019-01-21T06:15:00+00:00,Monday,061500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190121T061500.png
CAMHDA301-20190121T091500,2019-01-21T09:15:00+00:00,Monday,091500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190121T091500.png
