stem,utc_datetime,weekday,slot,video_exists,sheet_path
CAMHDA301-20210906T001500,2021-09-06T00:15:00+00:00,Monday,001500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210906T001500.png
CAMHDA301-20210906T031500,2021-09-06T03:15:00+00:00,Monday,031500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210906T031500.png
CAMHDA301-20210906T061500,2021-09-06T06:15:00+00:00,Monday,061500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210906T061500.png
CAMHDA301-20210906T091500,2021-09-06T09:15:00+00:00,Monday,091500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210906T091500.png
CAMHDA301-20210906T121500,2021-09-06T12:15:00+00:00,Monday,121500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210906T121500.png
CAMHDA301-20210906T151500,2021-09-06T15:15:00+00:00,Monday,151500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210906T151500.png
CAMHDA301-20210906T181500,2021-09-06T18:15:00+00:00,Monday,181500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210906T181500.png
CAMHDA301-20210906T211500,2021-09-06T21:15:00+00:00,Monday,211500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210906T211500.png
CAMHDA301-20210913T001500,2021-09-13T00:15:00+00:00,Monday,001500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210913T001500.png
CAMHDA301-20210913T031500,2021-09-13T03:15:00+00:00,Monday,031500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210913T031500.png
CAMHDA301-20210913T061500,2021-09-13T06:15:00+00:00,Monday,061500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210913T061500.png
CAMHDA301-20210913T091500,2021-09-13T09:15:00+00:00,Monday,091500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210913T091500.png
CAMHDA301-20210913T121500,2021-09-13T12:15:00+00:00,Monday,121500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210913T121500.png
CAMHDA301-20210913T151500,2021-09-13T15:15:00+00:00,Monday,151500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210913T151500.png
CAMHDA301-20210913T181500,2021-09-13T18:15:00+00:00,Monday,181500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210913T181500.png
CAMHDA301-20210913T211500,2021-09-13T21:15:00+00:00,Monday,211500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210913T211500.png
CAMHDA301-20210920T001500,2021-09-20T00:15:00+00:00,Monday,001500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210920T001500.png
CAMHDA301-20210920T031500,2021-09-20T03:15:00+00:00,Monday,031500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210920T031500.png
CAMHDA301-20210920T061500,2021-09-20T06:15:00+00:00,Monday,061500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210920T061500.png
CAMHDA301-20210920T091500,2021-09-20T09:15:00+00:00,Monday,091500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210920T091500.png
CAMHDA301-20210920T121500,2021-09-20T12:15:00+00:00,Monday,121500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210920T121500.png
CAMHDA301-20210920T151500,2021-09-20T15:15:00+00:00,Monday,151500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210920T151500.png
CAMHDA301-20210920T181500,2021-09-20T18:15:00+00:00,Monday,181500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210920T181500.png
CAMHDA301-20210920T211500,2021-09-20T21:15:00+00:00,Monday,211500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210920T211500.png
CAMHDA301-20210927T001500,2021-09-27T00:15:00+00:00,Monday,001500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210927T001500.png
CAMHDA301-20210927T031500,2021-09-27T03:15:00+00:00,Monday,031500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210927T031500.png
CAMHDA301-20210927T061500,2021-09-27T06:15:00+00:00,Monday,061500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210927T061500.png
CAMHDA301-20210927T091500,2021-09-27T09:15:00+00:00,Monday,091500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210927T091500.png
CAMHDA301-20210927T121500,2021-09-27T12:15:00+00:00,Monday,121500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210927T121500.png
CAMHDA301-20210927T151500,2021-09-27T15:15:00+00:00,Monday,151500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210927T151500.png
CAMHDA301-20210927T181500,2021-09-27T18:15:00+00:00,Monday,181500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210927T181500.png
CAMHDA301-20210927T211500,2021-09-27T21:15:00+00:00,Monday,211500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20210927T211500.png
CAMHDA301-20211004T001500,2021-10-04T00:15:00+00:00,Monday,001500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20211004T001500.png
CAMHDA301-20211004T031500,2021-10-04T03:15:00+00:00,Monday,031500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20211004T031500.png
CAMHDA301-20211004T061500,2021-10-04T06:15:00+00:00,Monday,061500,True,scene_sorting/clear_window_2021_2022/contact_sheets/CAMHDA301-20211004T061500.png
