stem,decision,scene1_time_s,decided_at_utc
CAMHDA301-20210906T001500,scene1,540,2026-09-14T14:00:53+00:00
CAMHDA301-20210906T031500,not_scene1,,2026-09-14T14:01:06+00:00
CAMHDA301-20210906T061500,not_scene1,,2026-09-14T14:01:10+00:00
CAMHDA301-20210906T091500,not_scene1,,2026-09-14T14:01:14+00:00
CAMHDA301-20210906T121500,not_scene1,,2026-09-14T14:01:17+00:00
CAMHDA301-20210906T151500,scene1,540,2026-09-14T14:01:29+00:00
CAMHDA301-20210906T181500,not_scene1,,2026-09-14T14:01:39+00:00
CAMHDA301-20210906T211500,not_scene1,,2026-09-14T14:01:42+00:00
CAMHDA301-20210913T001500,not_scene1,,2026-09-14T14:01:51+00:00
CAMHDA301-20210913T031500,not_scene1,,2026-09-14T14:01:54+00:00
CAMHDA301-20210913T061500,not_scene1,,2026-09-14T14:01:59+00:00
CAMHDA301-20210913T091500,not_scene1,,2026-09-14T14:02:02+00:00
CAMHDA301-20210913T121500,not_scene1,,2026-09-14T14:02:07+00:00
CAMHDA301-20210913T151500,scene1,540,2026-09-14T14:02:15+00:00
CAMHDA301-20210913T181500,scene1,540,2026-09-14T14:02:20+00:00
CAMHDA301-20210913T211500,scene1,540,2026-09-14T14:02:26+00:00
CAMHDA301-20210920T001500,not_scene1,,2026-09-14T14:02:30+00:00
CAMHDA301-20210920T031500,not_scene1,,2026-09-14T14:02:33+00:00
CAMHDA301-20210920T061500,not_scene1,,2026-09-14T14:02:36+00:00
CAMHDA301-20210920T091500,not_scene1,,2026-09-14T14:02:39+00:00
CAMHDA301-20210920T121500,scene1,210,2026-09-14T14:02:51+00:00
CAMHDA301-20210920T151500,not_scene1,,2026-09-14T14:02:55+00:00
CAMHDA301-20210920T181500,not_scene1,,2026-09-14T14:02:58+00:00
CAMHDA301-20210920T211500,not_scene1,,2026-09-14T14:03:01+00:00
CAMHDA301-20210927T001500,scene1,540,2026-09-14T14:03:09+00:00
CAMHDA301-20210927T031500,scene1,540,2026-09-14T14:03:14+00:00
CAMHDA301-20210927T061500,scene1,540,2026-09-14T14:03:20+00:00
CAMHDA301-20210927T091500,scene1,540,2026-09-14T14:03:24+00:00
CAMHDA301-20210927T121500,not_scene1,,2026-09-14T14:03:30+00:00
CAMHDA301-20210927T151500,scene1,540,2026-09-14T14:03:36+00:00
CAMHDA301-20210927T181500,not_scene1,,2026-09-14T14:03:41+00:00
