stem,decision,scene1_time_s,decided_at_utc
CAMHDA301-20230102T001500,scene1,210,2026-07-27T18:07:08+00:00
CAMHDA301-20230102T031500,not_scene1,,2026-07-27T18:07:19+00:00
CAMHDA301-20230102T061500,not_scene1,,2026-07-27T18:07:29+00:00
CAMHDA301-20230102T091500,not_scene1,,2026-07-27T18:07:37+00:00
CAMHDA301-20230102T121500,not_scene1,,2026-07-27T18:07:51+00:00
CAMHDA301-20230102T151500,not_scene1,,2026-07-27T18:07:59+00:00
CAMHDA301-20230102T181500,not_scene1,,2026-07-27T18:08:07+00:00
CAMHDA301-20230102T211500,not_scene1,,2026-07-27T18:08:14+00:00
CAMHDA301-20230109T001500,scene1,300,2026-07-27T18:08:44+00:00
CAMHDA301-20230109T031500,scene1,210,2026-07-27T18:08:54+00:00
CAMHDA301-20230109T061500,scene1,300,2026-07-27T18:17:12+00:00
CAMHDA301-20230109T091500,scene1,210,2026-07-27T18:17:22+00:00
CAMHDA301-20230109T121500,scene1,180,2026-07-27T18:17:35+00:00
CAMHDA301-20230109T151500,scene1,210,2026-07-27T18:20:26+00:00
CAMHDA301-20230109T181500,scene1,210,2026-07-27T18:20:36+00:00
CAMHDA301-20230109T211500,scene1,210,2026-07-27T18:20:48+00:00
CAMHDA301-20230116T001500,scene1,420,2026-07-27T18:21:07+00:00
CAMHDA301-20230116T031500,scene1,300,2026-07-27T18:21:25+00:00
CAMHDA301-20230116T061500,not_scene1,,2026-07-27T18:21:37+00:00
CAMHDA301-20230116T091500,scene1,210,2026-07-27T18:21:49+00:00
CAMHDA301-20230116T121500,scene1,420,2026-07-27T18:22:42+00:00
CAMHDA301-20230116T151500,scene1,420,2026-07-27T18:23:09+00:00
CAMHDA301-20230116T181500,scene1,240,2026-08-25T20:32:29+00:00
CAMHDA301-20230116T211500,scene1,210,2026-08-25T20:32:41+00:00
CAMHDA301-20230123T001500,scene1,420,2026-08-25T20:32:55+00:00
CAMHDA301-20230123T031500,scene1,210,2026-08-25T20:33:02+00:00
CAMHDA301-20230123T061500,scene1,210,2026-08-25T20:33:13+00:00
CAMHDA301-20230123T091500,scene1,420,2026-08-25T20:33:29+00:00
CAMHDA301-20230123T121500,scene1,210,2026-08-25T20:33:38+00:00
CAMHDA301-20230123T151500,scene1,210,2026-08-25T20:33:54+00:00
CAMHDA301-20230123T181500,scene1,420,2026-08-25T20:34:03+00:00
CAMHDA301-20230123T211500,scene1,420,2026-08-25T20:35:52+00:00
CAMHDA301-20230130T001500,scene1,420,2026-08-25T20:36:10+00:00
CAMHDA301-20230130T031500,scene1,420,2026-08-25T20:36:19+00:00
CAMHDA301-20230130T061500,scene1,180,2026-08-25T20:36:31+00:00
CAMHDA301-20230130T091500,not_scene1,,2026-08-25T20:36:47+00:00
CAMHDA301-20230130T121500,scene1,420,2026-08-25T20:36:58+00:00
CAMHDA301-20230130T151500,scene1,210,2026-08-25T20:37:07+00:00
CAMHDA301-20230130T181500,scene1,180,2026-08-25T20:37:15+00:00
CAMHDA301-20230130T211500,scene1,180,2026-08-25T20:37:24+00:00
CAMHDA301-20230206T001500,scene1,210,2026-08-25T20:37:34+00:00
CAMHDA301-20230206T031500,scene1,210,2026-08-25T20:37:39+00:00
CAMHDA301-20230206T061500,scene1,210,2026-08-25T20:37:45+00:00
CAMHDA301-20230206T091500,scene1,420,2026-08-25T20:37:53+00:00
CAMHDA301-20230206T121500,scene1,210,2026-08-25T20:38:02+00:00
CAMHDA301-20230206T151500,scene1,210,2026-08-25T20:38:08+00:00
CAMHDA301-20230206T181500,scene1,420,2026-08-25T20:38:17+00:00
CAMHDA301-20230206T211500,scene1,420,2026-08-25T20:38:25+00:00
CAMHDA301-20230213T001500,scene1,210,2026-08-25T20:38:31+00:00
CAMHDA301-20230213T031500,scene1,180,2026-08-25T20:38:45+00:00
CAMHDA301-20230213T061500,scene1,420,2026-08-25T20:38:50+00:00
CAMHDA301-20230213T091500,scene1,210,2026-08-25T20:39:01+00:00
CAMHDA301-20230213T121500,scene1,420,2026-08-25T20:39:09+00:00
CAMHDA301-20230213T151500,scene1,210,2026-08-25T20:39:23+00:00
CAMHDA301-20230213T181500,scene1,210,2026-08-25T20:39:31+00:00
CAMHDA301-20230213T211500,scene1,420,2026-08-25T20:40:07+00:00
CAMHDA301-20230220T001500,not_scene1,,2026-08-25T20:40:13+00:00
CAMHDA301-20230220T031500,scene1,240,2026-08-25T21:17:29+00:00
CAMHDA301-20230220T061500,not_scene1,,2026-08-25T21:17:44+00:00
CAMHDA301-20230220T091500,not_scene1,,2026-08-25T21:17:49+00:00
CAMHDA301-20230220T121500,not_scene1,,2026-08-25T21:17:53+00:00
CAMHDA301-20230220T151500,not_scene1,,2026-08-25T21:17:59+00:00
CAMHDA301-20230220T181500,not_scene1,,2026-08-25T21:18:02+00:00
CAMHDA301-20230220T211500,not_scene1,,2026-08-25T21:18:07+00:00
CAMHDA301-20230227T001500,not_scene1,,2026-08-25T21:18:21+00:00
CAMHDA301-20230227T031500,scene1,420,2026-08-25T21:18:33+00:00
CAMHDA301-20230227T061500,scene1,210,2026-08-25T21:18:46+00:00
CAMHDA301-20230227T091500,scene1,180,2026-08-25T21:19:07+00:00
CAMHDA301-20230227T121500,scene1,420,2026-08-25T21:19:14+00:00
CAMHDA301-20230227T151500,scene1,420,2026-08-25T21:19:21+00:00
CAMHDA301-20230227T181500,scene1,210,2026-08-25T21:19:27+00:00
CAMHDA301-20230227T211500,scene1,210,2026-08-25T21:19:36+00:00
CAMHDA301-20230306T001500,scene1,210,2026-08-25T21:19:41+00:00
CAMHDA301-20230306T031500,scene1,210,2026-08-25T21:19:49+00:00
CAMHDA301-20230306T061500,scene1,180,2026-08-25T21:20:19+00:00
CAMHDA301-20230306T091500,scene1,210,2026-08-25T21:20:24+00:00
CAMHDA301-20230306T121500,scene1,210,2026-08-25T21:20:53+00:00
CAMHDA301-20230306T151500,scene1,420,2026-08-25T21:21:01+00:00
CAMHDA301-20230306T181500,scene1,420,2026-08-25T21:21:08+00:00
CAMHDA301-20230306T211500,scene1,420,2026-08-25T21:21:14+00:00
CAMHDA301-20230313T001500,scene1,210,2026-08-25T21:21:20+00:00
CAMHDA301-20230313T031500,scene1,210,2026-08-25T21:21:27+00:00
CAMHDA301-20230313T061500,scene1,210,2026-08-25T21:21:32+00:00
CAMHDA301-20230313T091500,scene1,210,2026-08-25T21:21:45+00:00
CAMHDA301-20230313T121500,scene1,420,2026-08-25T21:22:04+00:00
CAMHDA301-20230313T151500,scene1,420,2026-08-25T21:22:10+00:00
CAMHDA301-20230313T181500,scene1,180,2026-08-25T21:22:16+00:00
CAMHDA301-20230313T211500,not_scene1,,2026-08-25T21:22:24+00:00
CAMHDA301-20230320T001500,not_scene1,,2026-08-25T21:22:28+00:00
CAMHDA301-20230320T031500,scene1,420,2026-08-25T21:22:37+00:00
CAMHDA301-20230320T061500,not_scene1,,2026-08-25T21:22:42+00:00
CAMHDA301-20230320T091500,not_scene1,,2026-08-25T21:22:48+00:00
CAMHDA301-20230320T121500,not_scene1,,2026-08-25T21:22:52+00:00
CAMHDA301-20230320T151500,not_scene1,,2026-08-25T21:22:57+00:00
CAMHDA301-20230320T181500,not_scene1,,2026-08-25T21:23:03+00:00
CAMHDA301-20230320T211500,not_scene1,,2026-08-25T21:23:07+00:00
CAMHDA301-20230327T001500,not_scene1,,2026-08-25T21:23:21+00:00
CAMHDA301-20230327T031500,not_scene1,,2026-08-25T21:23:26+00:00
CAMHDA301-20230327T061500,scene1,420,2026-08-25T21:23:36+00:00
CAMHDA301-20230327T091500,scene1,210,2026-08-25T21:23:44+00:00
CAMHDA301-20230327T121500,scene1,420,2026-08-25T21:23:54+00:00
CAMHDA301-20230327T151500,scene1,210,2026-08-25T21:24:01+00:00
CAMHDA301-20230327T181500,scene1,210,2026-08-25T21:24:08+00:00
CAMHDA301-20230327T211500,scene1,210,2026-08-25T21:24:15+00:00
CAMHDA301-20230403T001500,not_scene1,,2026-08-25T21:24:20+00:00
CAMHDA301-20230403T031500,not_scene1,,2026-08-25T21:24:26+00:00
CAMHDA301-20230403T061500,not_scene1,,2026-08-25T21:24:34+00:00
CAMHDA301-20230403T091500,not_scene1,,2026-08-25T21:24:38+00:00
CAMHDA301-20230403T121500,not_scene1,,2026-08-25T21:24:41+00:00
CAMHDA301-20230403T151500,not_scene1,,2026-08-25T21:24:44+00:00
CAMHDA301-20230403T181500,not_scene1,,2026-08-25T21:24:48+00:00
CAMHDA301-20230403T211500,not_scene1,,2026-08-25T21:24:54+00:00
CAMHDA301-20230410T001500,not_scene1,,2026-08-25T21:24:59+00:00
CAMHDA301-20230410T031500,scene1,420,2026-08-25T21:25:08+00:00
CAMHDA301-20230410T061500,not_scene1,,2026-08-25T21:25:14+00:00
CAMHDA301-20230410T091500,not_scene1,,2026-08-25T21:25:23+00:00
CAMHDA301-20230410T121500,not_scene1,,2026-08-25T21:25:34+00:00
CAMHDA301-20230410T151500,not_scene1,,2026-08-25T21:25:38+00:00
CAMHDA301-20230410T181500,not_scene1,,2026-08-25T21:25:43+00:00
CAMHDA301-20230410T211500,not_scene1,,2026-08-25T21:25:48+00:00
CAMHDA301-20230417T001500,scene1,210,2026-08-25T21:25:55+00:00
CAMHDA301-20230417T031500,scene1,210,2026-08-25T21:26:00+00:00
CAMHDA301-20230417T061500,scene1,180,2026-08-25T21:26:06+00:00
CAMHDA301-20230417T091500,scene1,210,2026-08-25T21:26:11+00:00
CAMHDA301-20230417T121500,scene1,210,2026-08-25T21:26:17+00:00
CAMHDA301-20230417T151500,not_scene1,,2026-08-25T21:26:24+00:00
CAMHDA301-20230417T181500,scene1,420,2026-08-25T21:26:31+00:00
CAMHDA301-20230417T211500,scene1,210,2026-08-25T21:26:36+00:00
CAMHDA301-20230424T001500,scene1,210,2026-08-25T21:26:42+00:00
CAMHDA301-20230424T031500,scene1,210,2026-08-25T21:26:51+00:00
CAMHDA301-20230424T061500,scene1,210,2026-08-25T21:26:56+00:00
CAMHDA301-20230424T091500,scene1,210,2026-08-25T21:27:03+00:00
CAMHDA301-20230424T121500,scene1,180,2026-08-25T21:27:17+00:00
CAMHDA301-20230424T151500,scene1,210,2026-08-25T21:27:27+00:00
CAMHDA301-20230424T181500,scene1,210,2026-08-25T21:27:36+00:00
CAMHDA301-20230424T211500,not_scene1,,2026-08-25T21:28:04+00:00
CAMHDA301-20230501T031500,not_scene1,,2026-08-25T21:28:08+00:00
CAMHDA301-20230501T061500,not_scene1,,2026-08-25T21:28:13+00:00
CAMHDA301-20230501T091500,scene1,210,2026-08-25T21:28:25+00:00
CAMHDA301-20230501T121500,scene1,210,2026-08-25T21:28:38+00:00
CAMHDA301-20230501T151500,scene1,420,2026-08-25T21:28:47+00:00
CAMHDA301-20230501T181500,not_scene1,,2026-08-25T21:28:53+00:00
CAMHDA301-20230501T211500,not_scene1,,2026-08-25T21:28:59+00:00
CAMHDA301-20230508T001500,scene1,210,2026-08-25T21:29:06+00:00
CAMHDA301-20230508T031500,scene1,210,2026-08-25T21:29:11+00:00
CAMHDA301-20230508T061500,scene1,210,2026-08-25T21:29:20+00:00
CAMHDA301-20230508T091500,scene1,420,2026-08-25T21:29:24+00:00
CAMHDA301-20230508T121500,scene1,210,2026-08-25T21:29:29+00:00
CAMHDA301-20230508T151500,scene1,210,2026-08-25T21:29:35+00:00
CAMHDA301-20230508T181500,scene1,210,2026-08-25T21:29:47+00:00
CAMHDA301-20230508T211500,scene1,210,2026-08-25T21:29:54+00:00
CAMHDA301-20230515T001500,scene1,210,2026-08-25T21:30:02+00:00
CAMHDA301-20230515T031500,scene1,210,2026-08-25T21:30:07+00:00
CAMHDA301-20230515T061500,scene1,210,2026-08-25T21:30:13+00:00
CAMHDA301-20230515T091500,scene1,210,2026-08-25T21:30:23+00:00
CAMHDA301-20230515T121500,scene1,210,2026-08-25T21:30:29+00:00
CAMHDA301-20230515T151500,scene1,210,2026-08-25T21:30:35+00:00
CAMHDA301-20230515T181500,scene1,210,2026-08-25T21:30:40+00:00
CAMHDA301-20230515T211500,scene1,210,2026-08-25T21:30:45+00:00
CAMHDA301-20230522T001500,scene1,210,2026-08-25T21:30:49+00:00
CAMHDA301-20230522T031500,scene1,210,2026-08-25T21:30:54+00:00
CAMHDA301-20230522T061500,scene1,180,2026-08-25T21:30:59+00:00
CAMHDA301-20230522T091500,scene1,210,2026-08-25T21:31:05+00:00
CAMHDA301-20230522T121500,scene1,210,2026-08-25T21:31:09+00:00
CAMHDA301-20230522T151500,scene1,210,2026-08-25T21:31:13+00:00
CAMHDA301-20230522T181500,scene1,210,2026-08-25T21:31:18+00:00
CAMHDA301-20230522T211500,scene1,420,2026-08-25T21:31:23+00:00
CAMHDA301-20230529T001500,scene1,210,2026-08-25T21:31:28+00:00
CAMHDA301-20230529T031500,scene1,210,2026-08-25T21:31:33+00:00
CAMHDA301-20230529T061500,scene1,180,2026-08-25T21:31:42+00:00
CAMHDA301-20230529T091500,scene1,210,2026-08-25T21:31:52+00:00
CAMHDA301-20230529T121500,scene1,180,2026-08-25T21:31:59+00:00
CAMHDA301-20230529T151500,scene1,210,2026-08-25T21:32:09+00:00
CAMHDA301-20230529T181500,scene1,210,2026-08-25T21:32:15+00:00
CAMHDA301-20230529T211500,scene1,210,2026-08-25T21:32:22+00:00
CAMHDA301-20230605T001500,scene1,210,2026-08-25T21:32:30+00:00
CAMHDA301-20230605T031500,scene1,180,2026-08-25T21:32:38+00:00
CAMHDA301-20230605T061500,scene1,210,2026-08-25T21:32:46+00:00
CAMHDA301-20230605T091500,scene1,210,2026-08-25T21:32:53+00:00
CAMHDA301-20230605T121500,scene1,180,2026-08-25T21:32:59+00:00
CAMHDA301-20230605T151500,scene1,210,2026-08-25T21:33:06+00:00
