stem,utc_datetime,weekday,slot,video_exists,sheet_path,year,stratum
CAMHDA301-20230102T091500,2023-01-02T09:15:00+00:00,Monday,091500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230102T091500.png,2023,2023_091500
CAMHDA301-20230220T001500,2023-02-20T00:15:00+00:00,Monday,001500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230220T001500.png,2023,2023_001500
CAMHDA301-20230313T121500,2023-03-13T12:15:00+00:00,Monday,121500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230313T121500.png,2023,2023_121500
CAMHDA301-20230320T001500,2023-03-20T00:15:00+00:00,Monday,001500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230320T001500.png,2023,2023_001500
CAMHDA301-20230320T211500,2023-03-20T21:15:00+00:00,Monday,211500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230320T211500.png,2023,2023_211500
CAMHDA301-20230417T121500,2023-04-17T12:15:00+00:00,Monday,121500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230417T121500.png,2023,2023_121500
CAMHDA301-20230501T031500,2023-05-01T03:15:00+00:00,Monday,031500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230501T031500.png,2023,2023_031500
CAMHDA301-20230508T121500,2023-05-08T12:15:00+00:00,Monday,121500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230508T121500.png,2023,2023_121500
CAMHDA301-20230515T031500,2023-05-15T03:15:00+00:00,Monday,031500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230515T031500.png,2023,2023_031500
CAMHDA301-20230515T151500,2023-05-15T15:15:00+00:00,Monday,151500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230515T151500.png,2023,2023_151500
CAMHDA301-20230529T001500,2023-05-29T00:15:00+00:00,Monday,001500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230529T001500.png,2023,2023_001500
CAMHDA301-20230529T091500,2023-05-29T09:15:00+00:00,Monday,091500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230529T091500.png,2023,2023_091500
CAMHDA301-20230619T181500,2023-06-19T18:15:00+00:00,Monday,181500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230619T181500.png,2023,2023_181500
CAMHDA301-20230626T061500,2023-06-26T06:15:00+00:00,Monday,061500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230626T061500.png,2023,2023_061500
CAMHDA301-20230626T091500,2023-06-26T09:15:00+00:00,Monday,091500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230626T091500.png,2023,2023_091500
CAMHDA301-20230703T031500,2023-07-03T03:15:00+00:00,Monday,031500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230703T031500.png,2023,2023_031500
CAMHDA301-20230703T151500,2023-07-03T15:15:00+00:00,Monday,151500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230703T151500.png,2023,2023_151500
CAMHDA301-20230710T091500,2023-07-10T09:15:00+00:00,Monday,091500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230710T091500.png,2023,2023_091500
CAMHDA301-20230710T151500,2023-07-10T15:15:00+00:00,Monday,151500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230710T151500.png,2023,2023_151500
CAMHDA301-20230717T181500,2023-07-17T18:15:00+00:00,Monday,181500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230717T181500.png,2023,2023_181500
CAMHDA301-20230724T181500,2023-07-24T18:15:00+00:00,Monday,181500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230724T181500.png,2023,2023_181500
CAMHDA301-20230828T031500,2023-08-28T03:15:00+00:00,Monday,031500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230828T031500.png,2023,2023_031500
CAMHDA301-20230904T091500,2023-09-04T09:15:00+00:00,Monday,091500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230904T091500.png,2023,2023_091500
CAMHDA301-20230904T211500,2023-09-04T21:15:00+00:00,Monday,211500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230904T211500.png,2023,2023_211500
CAMHDA301-20230911T061500,2023-09-11T06:15:00+00:00,Monday,061500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230911T061500.png,2023,2023_061500
CAMHDA301-20230918T061500,2023-09-18T06:15:00+00:00,Monday,061500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230918T061500.png,2023,2023_061500
